PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Xi, J; Song, J; Mo, M; Xue, C; Mou, W; Yin, Q				Xi, J.; Song, J.; Mo, M.; Xue, C.; Mou, W.; Yin, Q.			Study on Colonization of Strain ZY-9-13 labeled with Green Fluorescent Protein(GFP) Gene within Roots of tobacco and its Biocontrol Effect	PHYTOPATHOLOGY			English	Meeting Abstract	Annual Meeting of the American-Phytopathological-Society (APS)	JUL 30-AUG 03, 2016	Tampa, FL	Amer Phytopathol Soc					[Xi, J.; Song, J.; Xue, C.; Mou, W.; Yin, Q.] Zhengzhou Tobacco Res Inst CNTC, Zhengzhou, Peoples R China; [Mo, M.] Yunnan Univ, Kunming, Peoples R China								0	0	0	0	0	AMER PHYTOPATHOLOGICAL SOC	ST PAUL	3340 PILOT KNOB ROAD, ST PAUL, MN 55121 USA	0031-949X	1943-7684		PHYTOPATHOLOGY	Phytopathology	DEC	2016	106	12		S			59	59					1	Plant Sciences	Plant Sciences	EF6WM	WOS:000390471900304					2019-12-05	
J	Liu, X; Li, YX; Chen, N; Deng, DY; Xing, XX; Wang, YD				Liu, Xu; Li, Yuxiu; Chen, Nan; Deng, Dongyang; Xing, Xinxin; Wang, Yude			Ni3S2@Ni foam 3D electrode prepared via chemical corrosion by sodium sulfide and using in hydrazine electro-oxidation	ELECTROCHIMICA ACTA			English	Article; Proceedings Paper	13th International Fischer Symposium	JUN 07-11, 2015	Lubeck, GERMANY	Int Soc Electrochemistry, Kiel Univ, Res Focus Nano & Surface Sci, Ametek, Keysight Technologies		Nickel foam; Ni3S2; Sodium sulfide; Hydrazine electro-oxidation; Sensor	ENHANCED ELECTROCATALYTIC ACTIVITY; HIGH-PERFORMANCE SUPERCAPACITOR; ROOM-TEMPERATURE SYNTHESIS; OXYGEN EVOLUTION REACTION; NI3S2 NANOSHEET ARRAYS; NI-FOAM; EFFICIENT CATALYST; FACILE SYNTHESIS; NANOWIRE ARRAYS; TOXIC HYDRAZINE	Hydrazine electro-oxidation takes an important role in direct hydrazine fuel cells (DHFCs) and hydrazine electrochemical sensor, but the high cost of precious metal electrode hinders the practical applications of hydrazine electro-oxidation. In this study, an inexpensive 3D electrode of Ni3S2@Ni foam was obtained through a hydrothermal condition using sodium sulfide as corrodent and Ni foam as both substrate and Ni source. The formation mechanism of this Ni3S2 layer was studied through a process analysis based on physical chemistry with assistant of the results from characterizations. The obtained Ni3S2@Ni foam was used as electrode to test its hydrazine electro-oxidation properties in terms of DHFCs and electrochemical sensor. It is found Ni3S2@Ni foam possesses the ability to electro-oxidize hydrazine and Ni3S2 layer leads to increased activity including lower onset potential and higher current. In the aspect of hydrazine electrochemical sensor, the fabricated Ni3S2 layer leads to increased sensitivity and dynamic response property. The results indicate that as-prepared Ni3S2@Ni foam possesses a potential for practical application in hydrazine electro-oxidation, and Ni3S2 is a very promising substitute material for noble metals in hydrazine electro-oxidation. At the same time, with the characterization of the as-prepared Ni3S2@Ni foam electrode on structure, morphology and surface chemical states, the mechanism of the corrosion method as well as enhanced properties were investigated. (C) 2016 Elsevier Ltd. All rights reserved.	[Liu, Xu; Li, Yuxiu; Deng, Dongyang; Xing, Xinxin] Yunnan Univ, Sch Mat Sci & Engn, Kunming 650091, Peoples R China; [Chen, Nan; Wang, Yude] Yunnan Univ, Dept Phys, Kunming 650091, Peoples R China; [Wang, Yude] Yunnan Univ, Yunnan Prov Key Lab Micronano Mat & Technol, Kunming 650091, Peoples R China	Wang, YD (reprint author), Yunnan Univ, Dept Phys, Kunming 650091, Peoples R China.	ydwang@ynu.edu.cn	Liu, Xu/U-6935-2019	Liu, Xu/0000-0003-0532-316X				50	25	25	3	150	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0013-4686	1873-3859		ELECTROCHIM ACTA	Electrochim. Acta	SEP 20	2016	213						730	739		10.1016/j.electacta.2016.08.009			10	Electrochemistry	Electrochemistry	DU5KZ	WOS:000382251900090					2019-12-05	
J	Liu, WF; Liu, HL; Tao, DP				Liu, Weifeng; Liu, Hongli; Tao, Dapeng			Hessian regularization by patch alignment framework	NEUROCOMPUTING			English	Article; Proceedings Paper	IEEE International Conference on Security, Pattern Analysis, and Cybernetics (SPAC)	OCT 18-19, 2014	Huazhong Univ Sci & Technol, Wuhan, PEOPLES R CHINA	IEEE, IEEE Syst Man & Cybernet Soc, Univ Macau, Wuhan Assoc Sci & Technol	Huazhong Univ Sci & Technol	Semi-supervised learning; Hessian; Patch alignment; Least squares	IMAGE; NETWORKS; FEATURES	In recent years, semi-supervised learning has played a key part in large-scale image management, where usually only a few images are labeled. To address this problem, many representative works have been reported, including transductive SVM, universum SVM, co-training and graph-based methods. The prominent method is the patch alignment framework, which unifies the traditional spectral analysis methods. In this paper, we propose Hessian regression based on the patch alignment framework. In particular, we construct a Hessian using the patch alignment framework and apply it to regression problems. To the best of our knowledge, there is no report on Hessian construction from the patch alignment viewpoint. Compared with the traditional Laplacian regularization, Hessian can better match the data and then leverage the performance. To validate the effectiveness of the proposed method, we conduct human face recognition experiments on a celebrity face dataset. The experimental results demonstrate the superiority of the proposed solution in human face classification. (C) 2016 Elsevier B.V. All rights reserved.	[Liu, Weifeng; Liu, Hongli] China Univ Petr, Coll Informat & Control Engn, Qingdao 266580, Peoples R China; [Tao, Dapeng] Yunnan Univ, Sch Informat Sci & Engn, Kunming 650091, Peoples R China	Tao, DP (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming 650091, Peoples R China.	dapeng.tao@gmail.com	Tao, Dapeng/E-8649-2013	Tao, Dapeng/0000-0003-0783-5273				41	0	0	1	12	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0925-2312	1872-8286		NEUROCOMPUTING	Neurocomputing	SEP 5	2016	204				SI		183	188		10.1016/j.neucom.2015.07.152			6	Computer Science, Artificial Intelligence	Computer Science	DQ1HR	WOS:000378952600022					2019-12-05	
J	Li, CX; Lu, SG; Ma, JY; Gai, YH; Yang, Q				Li, Chun-Xiang; Lu, Shu-Gang; Ma, Jun-Ye; Gai, Yong-Hua; Yang, Qun			Phylogeographic history of the woodwardioid ferns, including species from the Himalayas	PALAEOWORLD			English	Article; Proceedings Paper	Joint Conference of the Palaontologische-Gesellschaft and the Palaeontological-Society-of-China	SEP 23-27, 2013	Georg August Univ, Gottingen, GERMANY	Palaontologische Gesell, Palaeontol Soc China	Georg August Univ	Woodwardia; rbcL; rps4; Phylogeny; Biogeography; Divergence time	MAXIMUM-LIKELIHOOD; DIVERGENCE TIME; RBCL SEQUENCES; DRYOPTERIDACEAE; PHYLOGENY; PACKAGE	The woodwardioid ferns are well-represented in the Northern Hemisphere, where they are disjunctly distributed throughout the warm temperate and subtropical regions of North America, Europe, and Asia. To infer the biogeographic history of the woodwardioid ferns, the phylogeny of Woodwardia was estimated using rbcL and rps4 sequences from divergent distribution regions including the Himalayas. Phylogenetic results support Woodwardia as a monophyletic group with Woodwardia areolatae and W virginica as basal, these two species from eastern North America diverged early, which are sister clades to the remaining species from America, Europe, and Asia. Based on analyses of the fossil records of these species for divergence times, Woodwardia species were estimated to have diverged initially in the Paleogene of North America. After its New World origin, a greater diversification and expansion of Woodwardia occurred in eastern Eurasia, with the European arrival of Woodwardia radicans during the Middle Miocene. Compared to earlier reports, a migration back into North America via the Bering land bridge is consistent with these data. (C) 2014 Elsevier B.V. and Nanjing Institute of Geology and Palaeontology, CAS. All rights reserved.	[Li, Chun-Xiang; Ma, Jun-Ye; Gai, Yong-Hua; Yang, Qun] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China; [Lu, Shu-Gang] Yunnan Univ, Inst Ecol & Geobot, Kunming 650091, Peoples R China	Li, CX (reprint author), Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China.	cxli@nigpas.ac.cn						30	5	5	3	11	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1871-174X	1875-5887		PALAEOWORLD	Palaeoworld	JUN	2016	25	2					318	324		10.1016/j.palwor.2014.10.004			7	Paleontology	Paleontology	DR2KR	WOS:000379733900014					2019-12-05	
J	Li, CQ; Li, YT				Li, Chaoqian; Li, Yaotang			An eigenvalue localization set for tensors with applications to determine the positive (semi-)definiteness of tensors	LINEAR & MULTILINEAR ALGEBRA			English	Article; Proceedings Paper	Conference on Tensors and Matrices and Their Applications (TMA 2014)	DEC 17-19, 2014	Suzhou Univ Sci & Technol, Suzhou, PEOPLES R CHINA	Hong Kong Polytechn Univ, Fudan Univ, Jiangsu Normal Univ	Suzhou Univ Sci & Technol	tensor eigenvalue; localization set; positive definite; positive semi-definite	PERRON-FROBENIUS THEOREM; SIGNLESS LAPLACIAN TENSORS; NONNEGATIVE TENSORS; H-EIGENVALUES; DEFINITENESS; HYPERGRAPHS; FORM	A new eigenvalue localization set for tensors is given, and proved to be tighter than those in [Qi L. Eigenvalues of a real supersymmetric tensor. J. Symbolic Comput. 2005;40:1302-1324] and [Li CQ, Li YT, Kong X. New eigenvalue inclusion sets for tensors. Numer. Linear Algebra Appl. 2014;21:39-50]. Based on this set, we give two checkable sufficient conditions of the positive definiteness of tensors, and two checkable sufficient conditions of the positive semi-definiteness of tensors.	[Li, Chaoqian; Li, Yaotang] Yunnan Univ, Sch Math & Stat, Kunming, Peoples R China	Li, YT (reprint author), Yunnan Univ, Sch Math & Stat, Kunming, Peoples R China.	liyaotang@ynu.edu.cn	Li, Yao/AAE-3550-2019		National Natural Science Foundations of ChinaNational Natural Science Foundation of China [11361074]; Natural Science Foundations of Yunnan Province [2013FD002]	This work was supported by National Natural Science Foundations of China [grant number 11361074]; Natural Science Foundations of Yunnan Province [grant number 2013FD002] and IRTSTYN.		36	28	29	3	15	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0308-1087	1563-5139		LINEAR MULTILINEAR A	Linear Multilinear Algebra	APR	2016	64	4			SI		587	601		10.1080/03081087.2015.1049582			15	Mathematics	Mathematics	DI7SM	WOS:000373702300003			Y	N	2019-12-05	
J	Li, CQ; Zhou, JJ; Li, YT				Li, Chaoqian; Zhou, Jianjun; Li, Yaotang			A new Brauer-type eigenvalue localization set for tensors	LINEAR & MULTILINEAR ALGEBRA			English	Article; Proceedings Paper	Conference on Tensors and Matrices and Their Applications (TMA 2014)	DEC 17-19, 2014	Suzhou Univ Sci & Technol, Suzhou, PEOPLES R CHINA	Hong Kong Polytechn Univ, Fudan Univ, Jiangsu Normal Univ	Suzhou Univ Sci & Technol	tensor eigenvalue; localization set; positive (semi-)definite; spectral radius	PERRON-FROBENIUS THEOREM; NONNEGATIVE TENSORS	A new Brauer-type eigenvalue localization set for tensors is given. We show that this set is tighter than those provided by Qi (J. Symbolic Comput. 2005 ), Li et al. (Numer. Linear Algebra App. 2014), and Li and Li (Linear and Multilinear Algebra, 2015). Based on this set, we give an upper bound for the spectral radius of nonnegative tensors, and prove that the new bound is sharper than those provided by Yang and Yang (SIAM J. Matrix Anal. App. 2010) and Li et al. (Numer. Linear Algebra App. 2014).	[Li, Chaoqian; Zhou, Jianjun; Li, Yaotang] Yunnan Univ, Sch Math & Stat, Kunming, Yunnan, Peoples R China	Li, YT (reprint author), Yunnan Univ, Sch Math & Stat, Kunming, Yunnan, Peoples R China.	liyaotang@ynu.edu.cn	Li, Yao/AAE-3550-2019		National Natural Science Foundations of ChinaNational Natural Science Foundation of China [11361074, 11301464]; Applied Basic Research Programs of Science and Technology Department of Yunnan Province [2013FD002]	This work was supported by National Natural Science Foundations of China [grant number 11361074], [grant number 11301464]; Applied Basic Research Programs of Science and Technology Department of Yunnan Province [grant number 2013FD002] and IRTSTYN.		21	19	19	2	5	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0308-1087	1563-5139		LINEAR MULTILINEAR A	Linear Multilinear Algebra	APR	2016	64	4			SI		727	736		10.1080/03081087.2015.1119779			10	Mathematics	Mathematics	DI7SM	WOS:000373702300012					2019-12-05	
S	Li, HF; He, W; He, QQ; Zheng, JJ		Khatib, J		Li, Hua-Fu; He, Wei; He, Qi-Qi; Zheng, Jin-Ji			Double exponential lightning current model adaptive filter design	2ND ANNUAL INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENTAL & SUSTAINABLE ECOSYSTEM DEVELOPMENT (EESED 2016)	AER-Advances in Engineering Research		English	Proceedings Paper	2nd Annual International Conference on Energy, Environmental and Sustainable Ecosystem Development (EESED)	AUG 26-28, 2016	Kunming, PEOPLES R CHINA			Adaptive Filter; Lightning Current Waveform; Matlab		This paper studies the basic structure and principles of adaptive noise filter proposed for the lightning current filtered LMS algorithm signal interference with the traditional difference is fixed filter. Development of adaptive filtering technology and the rapid development of VLSI technology for noise reduction study provides a theoretical and technical support. It is able to detect and extract the useful signal from the noise environment. LMS has the ability to automatically adjust its own parameters and it requires little or no prior knowledge of the undesired signal and noise. At same time, by means of MATLAB that lightning current signal by a double exponential model were to dry process simulation. Verification indicates that the filter has a good performance and this some practical value in the lightning current waveform analysis.	[Li, Hua-Fu; He, Wei; Zheng, Jin-Ji] Yunnan Normal Univ, Sch Phys & Elect Informat, Kunming, Yunnan, Peoples R China; [He, Qi-Qi] Yunnan Univ, Sch Comp & Informat, Kunming, Yunnan, Peoples R China	He, W (reprint author), Yunnan Normal Univ, Sch Phys & Elect Informat, Kunming, Yunnan, Peoples R China.	he99wei@aliyun.com			National Natural Science programs [51267021]; College students' innovative entrepreneurial training programs	This work is supported by National Natural Science programs (51267021) and College students' innovative entrepreneurial training programs (2015).		8	0	0	0	0	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-5401		978-94-6252-309-8	AER ADV ENG RES			2016	115						259	264					6	Engineering, Environmental	Engineering	BI9HP	WOS:000416097300034					2019-12-05	
B	Zhang, DH; Wang, NY; Wang, B; Yang, ZH; Zhao, H			IEEE	Zhang, Dehai; Wang, Naiyao; Wang, Bin; Yang, Zhonghao; Zhao, Hang			Ontology Induction in the Cognitive Model of Ontology Learning	2016 2ND IEEE INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATIONS (ICCC)			English	Proceedings Paper	2nd IEEE International Conference on Computer and Communications (ICCC)	OCT 14-17, 2016	Chengdu, PEOPLES R CHINA	IEEE		ontology induction; cognitive model; ontology learning; induction hypothesis		Ontology learning has become a popular research field recently. But most ontology construction methods are semiautomatic, and the construction process of ontology is still a tedious and painstaking task. The cognitive model of ontology learning is an automatic model of ontology construction that simulates the process of human being recognizing the world. Induction is an important step of the model. This paper presents a strategy for the ontology induction in the cognitive model of ontology learning, which includes some generalization principles and the corresponding induction operators. It generates induction hypothesis through a series of operations. As a result, induction hypothesis are generated from the present ontology and it can generalize the existing ontology.	[Zhang, Dehai; Wang, Naiyao; Wang, Bin; Yang, Zhonghao; Zhao, Hang] Yunnan Univ, Software Coll, Kunming, Yunnan, Peoples R China	Zhang, DH (reprint author), Yunnan Univ, Software Coll, Kunming, Yunnan, Peoples R China.	dhzhang@ynu.edu.cn; yunwny@126.com; yunwb@126.com; house.young@outlook.com; ynuzhaohang@163.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61263043]	This work is supported by the National Natural Science Foundation of China (Grant No. 61263043).		11	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-9026-2				2016							821	824					4	Computer Science, Hardware & Architecture; Computer Science, Theory & Methods; Telecommunications	Computer Science; Telecommunications	BI4AF	WOS:000411576801061					2019-12-05	
B	Zhang, DH; Yang, ZH; Wang, NY; Wang, B; Zhao, H			IEEE	Zhang, Dehai; Yang, Zhonghao; Wang, Naiyao; Wang, Bin; Zhao, Hang			Ontology Extension Based on Axiomatic Cognitive Model for Ontology Learning	2016 2ND IEEE INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATIONS (ICCC)			English	Proceedings Paper	2nd IEEE International Conference on Computer and Communications (ICCC)	OCT 14-17, 2016	Chengdu, PEOPLES R CHINA	IEEE		Ontology extension; ontology learning; congnitive model		As a kind of knowledge description methods, ontology has been used in reasoning related field to obtain more reasonable results, such as Semantic Web, Decision Support System, Data Integration etc. However, the construction of the ontology is still a time-consuming work for the experts. Although there are many ontology learning methods to acquire ontology from structured or unstructured data, it is still difficult to exclude logic errors using reinforcement learning on ontology construction. Ontology extension is a key step when the new knowledge adds into the existing ontology in the process ontology learning. This proposal designs and validates the method of ontology extension based on the axiomatic cognitive model, which include the ontology extension postulates, axioms and operations of the learning model. Our approach aims at improving the efficiency and accuracy of the Ontology construction. It is proved that these operators subject to the established axiom system.	[Zhang, Dehai; Yang, Zhonghao; Wang, Naiyao; Wang, Bin; Zhao, Hang] Yunnan Univ, Software Coll, Kunming 650091, Yunnan, Peoples R China	Zhang, DH (reprint author), Yunnan Univ, Software Coll, Kunming 650091, Yunnan, Peoples R China.	dhzhang@ynu.edu.cn; house.young@outlook.com; yunwny@126.com; yunwb@126.com; ynuzhaohang@163.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61263043]	This work is supported by the National Natural Science Foundation of China (Grant No. 61263043).		17	1	1	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-9026-2				2016							825	829					5	Computer Science, Hardware & Architecture; Computer Science, Theory & Methods; Telecommunications	Computer Science; Telecommunications	BI4AF	WOS:000411576801062					2019-12-05	
S	Tian, M; Cheng, YM; Li, JL; Hu, SL; Xu, XH		Huang, C; Xu, X; Zhao, S; Pan, B		Tian, Min; Cheng, Yimeng; Li, Jianlan; Hu, Shiliang; Xu, Xinhui			The Validity of Behavior Against Drought Disaster of Farm Households in Yunnan Mountain - Based on Different Body Discriminant Angles	PROCEEDINGS OF THE 7TH ANNUAL MEETING OF RISK ANALYSIS COUNCIL OF CHINA ASSOCIATION FOR DISASTER PREVENTION	Advances in Intelligent Systems Research		Chinese	Proceedings Paper	7th Annual Meeting of Risk-Analysis-Council of China-Association-for-Disaster-Prevention (RAC)	NOV 04-06, 2016	Cent S Univ, Changsha, PEOPLES R CHINA	China Assoc Disaster Prevent, Risk Anal Council	Cent S Univ	Drought disaster; Disaster response body; Disaster preparedness behavior; Validity		To analysis the efficient of farmer's disaster preparedness behaviors, we built and compared efficient index of two models. The one model's subject was experts and calculated by AHP (Analytic Hierarchy Process), and another subject was farmers and processed by TOPSIS (Technique for Order Preference by Similarity to an Ideal Solution). The results showed that the experts and farmers have broadly equal assessment on the importance of 12 different disaster preparedness behaviors. At the same time, the two models have a difference in some behaviors such as buying water, engaging in a variety of income-generating activities and purchasing water receivers. By identifying and comparing from the two models, the amounts of different types of disaster preparedness farmers were almost same. Moreover, the second types of two models were similar while the first and the third types were slightly different. And some farmers belong to the same type may undertake different disaster preparedness behaviors.	[Tian, Min; Cheng, Yimeng; Li, Jianlan; Hu, Shiliang; Xu, Xinhui] Yunnan Univ, Coll Resource Environm & Earth Sci, Kunming 650091, Yunnan, Peoples R China; [Tian, Min] Yunnan Univ, Yunnan Inst Geog, Kunming 650091, Yunnan, Peoples R China	Tian, M (reprint author), Yunnan Univ, Coll Resource Environm & Earth Sci, Kunming 650091, Yunnan, Peoples R China.; Tian, M (reprint author), Yunnan Univ, Yunnan Inst Geog, Kunming 650091, Yunnan, Peoples R China.	tianmin@ynu.edu.cn						1	0	0	0	0	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	1951-6851		978-94-6252-242-8; 978-94-6252-241-1	ADV INTEL SYS RES			2016	128						633	640					8	Multidisciplinary Sciences; Social Sciences, Interdisciplinary	Science & Technology - Other Topics; Social Sciences - Other Topics	BI5GO	WOS:000412351600086					2019-12-05	
