PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, L; Tang, L; Tang, MJ; Zhou, W				Liu, Lin; Tang, Lin; Tang, Mingjing; Zhou, Wei			A partially function-to-topic model for protein function prediction	BMC GENOMICS			English	Article; Proceedings Paper	29th Internatioinal Conference on Genome Informatics (GIW) - Genomics	DEC 03-05, 2018	Yunnan, PEOPLES R CHINA			Multi-label classification; Topic model; Protein function; Probability distribution	DATABASE	BackgroundProteins are a kind of macromolecules and the main component of a cell, and thus it is the most essential and versatile material of life. The research of protein functions is of great significance in decoding the secret of life. In recent years, researchers have introduced multi-label supervised topic model such as Labeled Latent Dirichlet Allocation (Labeled-LDA) into protein function prediction, which can obtain more accurate and explanatory prediction. However, the topic-label corresponding way of Labeled-LDA is associating each label (GO term) with a corresponding topic directly, which makes the latent topics to be completely degenerated, and ignores the differences between labels and latent topics.ResultTo achieve more accurate probabilistic modeling of function label, we propose a Partially Function-to-Topic Prediction (PFTP) model for introducing the local topics subset corresponding to each function label. Meanwhile, PFTP not only supports latent topics subset within a given function label but also a background topic corresponding to a fake' function label, which represents common semantic of protein function. Related definitions and the topic modeling process of PFTP are described in this paper. In a 5-fold cross validation experiment on yeast and human datasets, PFTP significantly outperforms five widely adopted methods for protein function prediction. Meanwhile, the impact of model parameters on prediction performance and the latent topics discovered by PFTP are also discussed in this paper.ConclusionAll of the experimental results provide evidence that PFTP is effective and have potential value for predicting protein function. Based on its ability of discovering more-refined latent sub-structure of function label, we can anticipate that PFTP is a potential method to reveal a deeper biological explanation for protein functions.	[Liu, Lin] Yunnan Normal Univ, Sch Informat, Kunming 650500, Yunnan, Peoples R China; [Tang, Lin] Yunnan Normal Univ, Minist Educ, Key Lab Educ Informatizat Nationalities, Kunming 650500, Yunnan, Peoples R China; [Tang, Mingjing] Yunnan Normal Univ, Presidents Off, Kunming 650500, Yunnan, Peoples R China; [Zhou, Wei] Yunnan Univ, Sch Software, Kunming 650091, Yunnan, Peoples R China	Tang, L (reprint author), Yunnan Normal Univ, Minist Educ, Key Lab Educ Informatizat Nationalities, Kunming 650500, Yunnan, Peoples R China.; Zhou, W (reprint author), Yunnan Univ, Sch Software, Kunming 650091, Yunnan, Peoples R China.	liulinrachel@163.com; maitanweng2@163.com; zwei@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61862067, 61363021]; Doctor Science Foundation of Yunnan normal university [2016zb009]	This research was supported by the National Natural Science Foundation of China (no. 61862067, no. 61363021), and the Doctor Science Foundation of Yunnan normal university (no. 01000205020503090, no. 2016zb009). Publication costs are funded by the Doctor Science Foundation of Yunnan normal university (no. 2016zb009).		22	0	0	3	4	BMC	LONDON	CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-2164			BMC GENOMICS	BMC Genomics	DEC 31	2018	19			10					883	10.1186/s12864-018-5276-7			14	Biotechnology & Applied Microbiology; Genetics & Heredity	Biotechnology & Applied Microbiology; Genetics & Heredity	HG0KG	WOS:000454632500005	30598098	DOAJ Gold, Green Published			2019-12-05	
J	Tang, WJ; Hui, M; Liu, TJ; Shen, DY; Zhang, XP				Tang, Weijie; Hui, Ming; Liu, Taijun; Shen, Dongya; Zhang, Xiupu			A Simple Envelope-Assisted RF/IF Digital Predistortion Model for Broadband RoF Fronthaul Transmission	JOURNAL OF LIGHTWAVE TECHNOLOGY			English	Article; Proceedings Paper	International Topical Meeting on Microwave Photonics (MWP)	OCT 23-26, 2017	Tsinghua Univ, Beijing, PEOPLES R CHINA	Beijing Univ Posts & Telecommunicat, CAS, Inst Semiconductors, NUAA, SWJTU, IPOC, LUSTER LightTech Grp, YOFC, IEEE Photon Soc, IEEE Microwave Theory & Tech Soc, TNList, Chinese Laser Press, EiC, Tektronix, Conquer, REALPHotoN, Miracle Photon, COMTEST	Tsinghua Univ	Digital predistortion (DPD); fronthaul; 5G; LTE; multi-band; radio-over-fiber; RF amplifier	SYSTEMS; RADIO	For emerging 5G fronthaul, broadband radio over fiber (RoF) transmission has been found much more cost-effective than conventional digital fiber transmission. Current digital predistortion (DPD) techniques may not be effective in linearizing broadband RoF links. This work presents a simple envelope-assisted radio frequency (RF)/intermediate frequency (IF) DPD model for linearization of broadband/multiband RoF transmission. The model uses both RF/IF signals and baseband envelopes, resulting in the short-term and long-term memory effect mitigated efficiently even for high signal bandwidth. The model complexity is lower than the existing baseband DPDs and does not increase with the increase of the signal bands. The model is experimentally evaluated in three scenarios: two 20 MHz long-term evolution (LTE) signals spaced by 100 and 40 MHz, and three 20 MHz LTE signals spaced by 50 MHz. It is shown that the proposed DPD results in comparable performance as today's baseband models.	[Tang, Weijie; Zhang, Xiupu] Concordia Univ, Dept Elect & Comp Engn, iPhoton Labs, Montreal, PQ H3G 1M8, Canada; [Hui, Ming] Nanyang Normal Univ, Coll Phys & Elect Engn, Henan Prov Engn Lab Petr Equipment, Nanyang 473061, Peoples R China; [Liu, Taijun] Ningbo Univ, Sch Informat Sci & Engn, Ningbo 315211, Zhejiang, Peoples R China; [Shen, Dongya] Yunnan Univ, Sch Informat Sci & Engn, Kunming 650091, Yunnan, Peoples R China	Zhang, XP (reprint author), Concordia Univ, Dept Elect & Comp Engn, iPhoton Labs, Montreal, PQ H3G 1M8, Canada.	28482989@qq.com; huimingsn@163.com; liutaijun@nbu.edu.cn; shendy@ynu.edu.cn; xzhang@ece.concordia.ca		Shen, Dongya/0000-0002-5690-328X; Tang, Weijie/0000-0002-5971-6914	Discovery Program of Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada	This work was supported by the Discovery Program of Natural Sciences and Engineering Research Council of Canada (NSERC).		33	1	1	5	9	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0733-8724	1558-2213		J LIGHTWAVE TECHNOL	J. Lightwave Technol.	OCT 1	2018	36	19			SI		4305	4311		10.1109/JLT.2018.2846883			7	Engineering, Electrical & Electronic; Optics; Telecommunications	Engineering; Optics; Telecommunications	GS7OR	WOS:000443892500012					2019-12-05	
J	Chen, YY; Li, R; Li, CQ; Li, WX; Yang, HF; Xiao, H; Chen, SY				Chen, Yan-Yan; Li, Rong; Li, Chun-Qing; Li, Wei-Xian; Yang, Hong-Fu; Xiao, Heng; Chen, Shan-Yuan			Testing the validity of two putative sympatric species from Sinocyclocheilus (Cypriniformes: Cyprinidae) based on mitochondrial cytochrome b sequences	ZOOTAXA			English	Article; Proceedings Paper	4th Annual International Conference of the Asian-Society-of-Ichthyologists (ASI)	2017	Ho Chi Minh City, VIETNAM	Asian Soc Ichthyologists		Mitochondrial DNA; CYTB; molecular identification	TELEOSTEI CYPRINIFORMES; PHYLOGENETIC ANALYSIS; MAXIMUM-LIKELIHOOD; DNA POLYMORPHISM; SOFTWARE PACKAGE; RIVER DRAINAGE; MIXED MODELS; CHINA; CAVEFISH; GUANGXI	There are over 60 species within the freshwater fish genus Sinocyclocheilus (Cypriniformes: Cyprinidae) distributed throughout the Yunnan-Guizhou Plateau and its surrounding areas in China. In recent years, the increasing number of new species described has raised some controversy about the validity of several species within this genus, notably the putative sympatric species pair S. qiubeiensis and S. jiuchengensis. To test the validity of S. qiubeiensis and S. jiuchengensis, we analyzed the complete sequences of the mitochondrial cytochrome b (CYTB) gene of 20 identified species and one out-group species. Phylogenetic relationships were reconstructed using CYTB with maximum likelihood (ML) and Bayesian inference (BI) methods. Our phylogenetic results showed that all individuals of S. qiubeiensis and S. jiuchengensis clustered in one clade with strong support. In addition, the genetic distance between the two species was 0.11%, within the range observed at the intraspecific level. The most recent common ancestor of S. qiubeiensis and S. jiuchengensis dated back to 0.13 million years ago, indicating little time for complete speciation to have occurred. These results clearly support the viewpoint that S. jiuchengensis is a synonym of S. qiubeiensis.	[Chen, Yan-Yan; Li, Rong; Li, Chun-Qing; Xiao, Heng; Chen, Shan-Yuan] Yunnan Univ, Sch Life Sci, Kunming 650091, Yunnan, Peoples R China; [Li, Chun-Qing; Xiao, Heng] Yunnan Univ, Key Lab Anim Genet Divers & Evolut High Educ Yunn, Kunming 650091, Yunnan, Peoples R China; [Li, Wei-Xian] Heilongtan Reservoir Shilin Cty, Shilin 652200, Yunnan, Peoples R China; [Yang, Hong-Fu] Fisheries Adm Qiubei Cty, Shilin 652200, Yunnan, Peoples R China; [Yang, Hong-Fu] Fisheries Adm Qiubei Cty, Qiubei 653200, Yunnan, Peoples R China	Xiao, H; Chen, SY (reprint author), Yunnan Univ, Sch Life Sci, Kunming 650091, Yunnan, Peoples R China.; Xiao, H (reprint author), Yunnan Univ, Key Lab Anim Genet Divers & Evolut High Educ Yunn, Kunming 650091, Yunnan, Peoples R China.	xiaoheng@ynu.edu.cn; chensy@ynu.edu.cn	Chen, Shanyuan/P-5352-2019		National Nature Science Foundation of ChinaNational Natural Science Foundation of China [31560111]; Graduate Student Scientific Research Innovation Project in Yunnan University; Hundred Oversea Talents Recruitment Program of Yunnan Province	This work was partially supported by the National Nature Science Foundation of China (31560111) and the Graduate Student Scientific Research Innovation Project in Yunnan University. S.C. was supported by the Hundred Oversea Talents Recruitment Program of Yunnan Province.		42	0	0	1	3	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	SEP 13	2018	4476	1			SI		130	140		10.11646/zootaxa.4476.1.12			11	Zoology	Zoology	GT3BD	WOS:000444374000010	30313347	Bronze			2019-12-05	
J	Palanichamy, MG				Palanichamy, Malliya Gounder			The regional variation of the Indian specific mitochondrial DNA haplogroups U2a, U2b, U2c; and the spread of western Eurasian ancestry	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY			English	Meeting Abstract	87th Annual Meeting of the American-Association-of-Physical-Anthropologists (AAPA)	APR 11-14, 2018	Austin, TX	Amer Assoc Phys Anthropologists					[Palanichamy, Malliya Gounder] Yunnan Univ, Lab Conservat & Utilizat Bioresources, Kunming, Yunnan, Peoples R China					Yunnan University; Yunnan provincial Science and Technology Department; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [31060156, 31240018]	This work was supported by Yunnan University, the Yunnan provincial Science and Technology Department and from Grants from the National Natural Science Foundation of China (31060156 and 31240018).		0	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0002-9483	1096-8644		AM J PHYS ANTHROPOL	Am. J. Phys. Anthropol.	APR	2018	165			66			198	198					1	Anthropology; Evolutionary Biology	Anthropology; Evolutionary Biology	GD6ZA	WOS:000430656803051					2019-12-05	
J	Lehmann, K; Zhang, RH; Felekyan, S; Kuhnemuth, R; Toth, K				Lehmann, Kathrin; Zhang, Ruihan; Felekyan, Suren; Kuehnemuth, Ralf; Toth, Katalin			Dynamics of Histone H3 Tails in Mononucleosomes Studied by Single-Molecule FRET and MD Simulations	BIOPHYSICAL JOURNAL			English	Meeting Abstract	62nd Annual Meeting of the Biophysical-Society	FEB 17-21, 2018	San Francisco, CA	Biophys Soc					[Lehmann, Kathrin; Toth, Katalin] German Canc Res Ctr, Biophys Macromol, Heidelberg, Germany; [Zhang, Ruihan] Yunnan Univ, Key Lab Med Chem Nat Resources, Kunming, Yunnan, Peoples R China; [Felekyan, Suren; Kuehnemuth, Ralf] Heinrich Heine Univ Dusseldorf, Dusseldorf, Germany								0	0	0	0	0	CELL PRESS	CAMBRIDGE	50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA	0006-3495	1542-0086		BIOPHYS J	Biophys. J.	FEB 2	2018	114	3		1		1294-Pos	256A	257A		10.1016/j.bpj.2017.11.1425			2	Biophysics	Biophysics	GD3YL	WOS:000430439600537		Bronze			2019-12-05	
S	Wang, LZ; Bao, XG; Cao, LB			IEEE	Wang, Lizhen; Bao, Xuguang; Cao, Longbing			Interactive Probabilistic Post-mining of User-preferred Spatial Co-location Patterns	2018 IEEE 34TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE)	IEEE International Conference on Data Engineering		English	Proceedings Paper	34th IEEE International Conference on Data Engineering Workshops (ICDEW)	APR 16-19, 2018	Paris, FRANCE	IEEE, IEEE Comp Soc, U S Natl Sci Fdn				Spatial co-location pattern mining is an important task in spatial data mining. However, traditional mining frameworks often produce too many prevalent patterns of which only a small proportion may be truly interesting to end users. To satisfy user preferences, this work proposes an interactive probabilistic post-mining method to discover user-preferred co-location patterns from the early-round of mined results by iteratively involving user's feedback and probabilistically refining preferred patterns. We first introduce a framework of interactively post-mining preferred co-location patterns, which enables a user to effectively discover the co-location patterns tailored to his/her specific preference. A probabilistic model is further introduced to measure the user feedback-based subjective preferences on resultant co-location patterns. This measure is used to not only select sample co-location patterns in the iterative user feedback process but also rank the results. The experimental results on real and synthetic data sets demonstrate the effectiveness of our approach.	[Wang, Lizhen; Bao, Xuguang] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China; [Cao, Longbing] Univ Technol Sydney, Adv Analyt Inst, Sydney, NSW, Australia	Wang, LZ (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China.				National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61472346, 61662086]; Science Foundation of Yunnan Province [2016FA026, 2015FB114]; Project of Innovation Research Team of Yunnan Province	This work was supported in part by grants (No. 61472346, No.61662086) from the National Natural Science Foundation of China, in part by a grant (No. 2016FA026, No. 2015FB114) from the Science Foundation of Yunnan Province, and in part by the Project of Innovation Research Team of Yunnan Province.		12	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1084-4627		978-1-5386-5520-7	PROC INT CONF DATA			2018							1256	1259		10.1109/ICDE.2018.00124			4	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BO0OZ	WOS:000492836500116					2019-12-05	
S	Wang, LZ; Bao, XG; Zhou, LH			IEEE	Wang, Lizhen; Bao, Xuguang; Zhou, Lihua			Redundancy Reduction for Prevalent Co-location Patterns (Extended Abstract)	2018 IEEE 34TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE)	IEEE International Conference on Data Engineering		English	Proceedings Paper	34th IEEE International Conference on Data Engineering Workshops (ICDEW)	APR 16-19, 2018	Paris, FRANCE	IEEE, IEEE Comp Soc, U S Natl Sci Fdn				Spatial co-location pattern mining is an interesting and important task in spatial data mining which discovers the subsets of spatial features frequently observed together in nearby geographic space. However, the traditional framework of mining prevalent co-location patterns produces numerous redundant co-location patterns, which makes it hard for users to understand or apply. In this paper we study the problem of reducing redundancy in a collection of prevalent co-location patterns. We first introduce the concept of semantic distance between two co-location patterns, and then define redundant co-locations by introducing the concept of delta-covered, where delta (0 <=delta <= 1) is a coverage measure. We develop two algorithms RRclosed and RRnull to perform the redundancy reduction for prevalent co-location patterns. Our performance studies on the synthetic and real-world data sets demonstrate that our method effectively reduces the size of the original collection of closed co-location patterns by about 50%. Furthermore, the RRnull method runs much faster than the related closed co-location pattern mining algorithm.	[Wang, Lizhen; Bao, Xuguang; Zhou, Lihua] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China	Wang, LZ (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China.	lzhwang@ynu.edu.cn; bbaaooxx@163.com; lhzhou@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61472346, 61662086]; Science Foundation of Yunnan Province [2016FA026, 2015FB114]; Project of Innovation Research Team of Yunnan Province	This work was supported in part by grants (Nos. 61472346 and 61662086) from the National Natural Science Foundation of China, in part by a grant (Nos. 2016FA026 and 2015FB114) from the Science Foundation of Yunnan Province, and in part by the Project of Innovation Research Team of Yunnan Province.		4	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1084-4627		978-1-5386-5520-7	PROC INT CONF DATA			2018							1777	1778		10.1109/ICDE.2018.00246			2	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BO0OZ	WOS:000492836500238					2019-12-05	
B	Zhang, XC; Duan, Q; Yang, HJ		Ma, X		Zhang, Xiaochun; Duan, Qing; Yang, Hongji			Scale Detection Based on Maximum Entropy Principle	2018 24TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND COMPUTING (ICAC' 18)			English	Proceedings Paper	24th IEEE International Conference on Automation and Computing (ICAC) - Improving Productivity through Automation and Computing Newcastle	SEP 06-07, 2018	Newcastle Univ, Newcastle upon Tyne, ENGLAND	IEEE, Chinese Automat & Comp Soc, Int Journal Automat & Comp, Hebei Univ Technol	Newcastle Univ	Entropy; Scale; Error function; Entropy Scale Space		In this study, a method to estimate the scale of the location of an arbitrary image is proposed based on the maximum entropy principle. The scale corresponds to the window covering the most amount of information. Gaussian and error functions are used to reveal entropy-scale relations. This study also introduces the entropy of functions and discusses its connection with differential entropy and Boltzmann's entropy. Experiments showed that the proposed method can effectively estimate the scales of functions and images.	[Zhang, Xiaochun] Anhui Univ Finance & Econ, Sch Informat Engn, Bengbu, Peoples R China; [Duan, Qing] Yunnan Univ, Key Lab Software Engn Yunnan Prov, Kunming, Yunnan, Peoples R China; [Yang, Hongji] Univ Leicester, Dept Informat, Leicester, Leics, England	Duan, Q (reprint author), Yunnan Univ, Key Lab Software Engn Yunnan Prov, Kunming, Yunnan, Peoples R China.	xiaochunzhang0207@gmail.com; qduan@ynu.edu.cn; Hongji.Yang@Leicester.ac.uk			National Natural Science Fund of ChinaNational Natural Science Foundation of China [31601224]; Anhui Provincial Natural Science Research Project of Colleges and Universities [KJ2016A0005]; Natural Science Research Project in Anhui University of Finance and Economics [ACKY1564]	This work was partially supported by the National Natural Science Fund of China (grant No. 31601224), Anhui Provincial Natural Science Research Project of Colleges and Universities (grant No. KJ2016A0005), and the Natural Science Research Project in Anhui University of Finance and Economics (grant No. ACKY1564).		11	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-86220-342-6				2018							448	453					6	Automation & Control Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Automation & Control Systems; Computer Science; Engineering	BO0JD	WOS:000491276900068					2019-12-05	
S	Zhang, ZJ; Liu, L; Yue, K; Liu, WY		Cai, Y; Ishikawa, Y; Xu, J		Zhang, Zhijian; Liu, Ling; Yue, Kun; Liu, Weiyi			An Estimation Framework of Node Contribution Based on Diffusion Information	WEB AND BIG DATA (APWEB-WAIM 2018), PT I	Lecture Notes in Computer Science		English	Proceedings Paper	2nd International Joint Conference on Asia-Pacific Web (APWeb) / Web-Age Information Management (WAIM)	JUL 23-25, 2018	PEOPLES R CHINA			Social network; Influence diffusion; Node contribution; Contribution Estimation		As a key problem in social network studies, identifying important nodes is useful for spreading prediction and restraint. Nowadays, many researches focus on identifying important nodes based on network structure, which is completely necessary. However, the role of a node in diffusion is simultaneously determined by network structure and diffusion characteristics. In this paper, we aim to find the contributive nodes that play important roles in influence spreading without network structure information. First, we formulize the concept of node contribution to influence diffusion to describe the importance of nodes in the spreading processes. Then, we propose an estimation framework and give the method to estimate node contribution based on diffusion samples. Accordingly, the Contribution Estimation algorithm is proposed upon the framework. Finally, we implement our algorithm and test the efficiency on two weighted social networks.	[Zhang, Zhijian; Yue, Kun; Liu, Weiyi] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China; [Zhang, Zhijian] Kunming Univ Sci & Technol, Coll Sci, Kunming, Yunnan, Peoples R China; [Liu, Ling] Yunnan Police Officer Acad, Kunming, Yunnan, Peoples R China	Yue, K (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China.	kyue@ynu.edu.cn			Research Foundation of Educational Department of Yunnan Province [2017ZZX133]; Applied Basic Research Project of Yunnan Province (Youth Program) [2015FD037]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61472345]; Research Foundation of Yunnan University [2017YDJQ06]	This paper was supported by the Research Foundation of Educational Department of Yunnan Province (2017ZZX133), Applied Basic Research Project of Yunnan Province (Youth Program) (2015FD037), National Natural Science Foundation of China (61472345) and Research Foundation of Yunnan University (2017YDJQ06).		18	0	0	0	0	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-319-96890-2; 978-3-319-96889-6	LECT NOTES COMPUT SC			2018	10987						130	137		10.1007/978-3-319-96890-2_11			8	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN4OF	WOS:000482621700011					2019-12-05	
S	Du, GW; Zhou, LH; Wang, LZ; Chen, HM		Cai, Y; Ishikawa, Y; Xu, J		Du, Guowang; Zhou, Lihua; Wang, Lizhen; Chen, Hongmei			Multivariate Time Series Clustering via Multi-relational Community Detection in Networks	WEB AND BIG DATA (APWEB-WAIM 2018), PT I	Lecture Notes in Computer Science		English	Proceedings Paper	2nd International Joint Conference on Asia-Pacific Web (APWeb) / Web-Age Information Management (WAIM)	JUL 23-25, 2018	PEOPLES R CHINA			Multivariate time series; Clustering; Multi-relational network; Community detection; Matrix factorization	GAME-THEORY	Clustering multivariate time series is a challenging problem with numerous applications. The presence of complex relations amongst individual series poses difficulties with respect to traditional modelling, computation and statistical theory. In this paper, we propose a method for clustering multivariate time series by using multi-relational community detection in complex networks. Firstly, a set of multivariate time series is transformed into a multi-relational network. Then, an algorithm for multi-relational community detection based on multiple nonnegative matrices factorization (MNMF) is proposed and is applied to identify time series clusters. The transformation of time series from time-space domain to topological domain benefits from the ability of networks to characterize both local and global relationship amongst nodes (representing data samples), while the use of MNMF can give full play to complex relations amongst individual series and preserve the multi-way nature of multivariate information. Preliminary experiment indicates promising results of our proposed approach.	[Du, Guowang; Zhou, Lihua; Wang, Lizhen; Chen, Hongmei] Yunnan Univ, Sch Informat, Kunming 650500, Yunnan, Peoples R China	Zhou, LH (reprint author), Yunnan Univ, Sch Informat, Kunming 650500, Yunnan, Peoples R China.	bingwei2642@qq.com; lhzhou@ynu.edu.cn; lzhwang@ynu.edu.cn; hmchen@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61762090, 61262069, 61472346, 61662086]; Natural Science Foundation of Yunnan ProvinceNatural Science Foundation of Yunnan Province [2016FA026, 2015FB114]; Project of Innovative Research Team of Yunnan Province; Program for Innovation Research Team (in Science and Technology) in University of Yunnan Province (IRTSTYN)	This research was supported by the National Natural Science Foundation of China (61762090, 61262069, 61472346, and 61662086), The Natural Science Foundation of Yunnan Province (2016FA026, 2015FB114), the Project of Innovative Research Team of Yunnan Province, and Program for Innovation Research Team (in Science and Technology) in University of Yunnan Province (IRTSTYN).		21	0	0	0	0	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-319-96890-2; 978-3-319-96889-6	LECT NOTES COMPUT SC			2018	10987						138	145		10.1007/978-3-319-96890-2_12			8	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN4OF	WOS:000482621700012					2019-12-05	
