PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Li, CY; Xie, JZ; Zhang, XJ		Zhu, H; Eguchi, K; Wu, J		Li, Chunyan; Xie, Jinzhan; Zhang, Xuejie			Performance Evaluation based on Open Source Cloud Platforms for High Performance Computing	2013 6TH INTERNATIONAL CONFERENCE ON INTELLIGENT NETWORKS AND INTELLIGENT SYSTEMS (ICINIS)			English	Proceedings Paper	6th International Conference on Intelligent Networks and Intelligent Systems (ICINIS)	NOV 01-03, 2013	Shenyang Inst Engn, Shenyang, PEOPLES R CHINA	Intelligent Networks & Syst Soc, Inst Elect & Elect Engineers, Chinese Acad Sci & Technol Japan, Japanese Neural Network Soc, WSEAS Japan Chapter Intelligence & Informat, IEEE Comp Soc, WSEAS Chinese Chapter Adv Design & Manfacture	Shenyang Inst Engn	High Performance Computing (HPC); Cloud computing; Benchmark; Open Source; HPC Challenge (HPCC)		Cloud computing is a new model of the Internet resource utilization to provide a variety of IT services. It has been widely applied in various fields, including High Performance Computing (HPC). However, virtualization brings some performance overhead. Meanwhile, there are some differences in virtualization technology of different Open Source Cloud platforms. In order to find out the most suitable Open Source Cloud for HPC, this paper compares and analyses the performance of Open Source Clouds platforms such as Nimbus, OpenNebula and OpenStack for HPC according to HPC Challenge (HPCC) benchmark suite. From our experiment, OpenStack shows the better performance for HPC. So, it is proposed for implementing HPC applications in Open Source Cloud platform.	[Li, Chunyan; Xie, Jinzhan; Zhang, Xuejie] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Peoples R China	Li, CY (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming, Peoples R China.	lchy0316@gmail.com; xinjixjz@gmail.com; xjzhang@ynu.edu.cn						16	5	5	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4799-2808-8				2013							90	94		10.1109/ICINIS.2013.30			5	Computer Science, Artificial Intelligence; Computer Science, Hardware & Architecture; Computer Science, Information Systems	Computer Science	BB7OM	WOS:000345841800024					2019-12-05	
B	Duan, Q; Liu, JH; Liang, ZH; Sun, XP; Kang, HW; Yang, SL			IEEE	Duan, Qing; Liu, Junhui; Liang, Zhihong; Sun, Xingping; Kang, Hongwei; Yang, ShengLin			A Study and Instantiation of Executable Domain-Specific Modeling	2013 3RD INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS, COMMUNICATIONS AND NETWORKS (CECNET)			English	Proceedings Paper	3rd International Conference on Consumer Electronics, Communications and Networks (CECNet)	NOV 20-22, 2013	Hubei Univ Sci & Technol, Xianning, PEOPLES R CHINA	IEEE, IEEE CE Soc	Hubei Univ Sci & Technol	domain-specific modeling; model driven development; executable model; modeling language; online shopping system		Model is the description and specification of software functions, structure, behaviour and its environment. One of the most important things is to strive to achieve automatically built software according to domain model, to verify the software in developing is better than that of software requirements. This paper integrates domain-specific modeling and web service techniques with model-driven development, then proposes a unified approach, SODSMI to build the executable domain-specific model to achieve the target of model-driven development. In this paper, a case study to construct an online shopping system is introduced for demonstrating the proposed approach.	[Duan, Qing; Liu, Junhui; Liang, Zhihong; Sun, Xingping; Yang, ShengLin] Yunnan Univ, Sch Software, Kunming 650091, Yunnan, Peoples R China; [Duan, Qing; Liu, Junhui; Liang, Zhihong; Kang, Hongwei] Key Lab Software Engn, Yunnan, Peoples R China	Duan, Q (reprint author), Yunnan Univ, Sch Software, Kunming 650091, Yunnan, Peoples R China.	qduan@ynu.edu.cn			Open Foundation of Key Laboratory in Software Engineering of Yunnan Province [2012SE301, 2010KS04, 2011SE13]; Research Funding for Teacher with a Doctorate [XT412004]	This work has been supported by the Open Foundation of Key Laboratory in Software Engineering of Yunnan Province under Grant No. 2012SE301, 2010KS04 and 2011SE13, and by the Research Funding for Teacher with a Doctorate under Grant No. XT412004.		5	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4799-2860-6				2013							41	44					4	Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Computer Science; Engineering	BB6ZY	WOS:000345236300012					2019-12-05	
S	Xu, WL; Yue, K; Li, J; Duan, L; Liu, SY; Liu, WY		Lin, X; Manolopoulos, Y; Srivastava, D; Huang, G		Xu, Wenlin; Yue, Kun; Li, Jin; Duan, Liang; Liu, Suiye; Liu, Weiyi			An Approach for Sponsored Search Auctions Based on the Coalitional Game Theory	WEB INFORMATION SYSTEMS ENGINEERING - WISE 2013, PT II	Lecture Notes in Computer Science		English	Proceedings Paper	14th International Conference on Web Information Systems Engineering (WISE)	OCT 13-15, 2013	Nanjing, PEOPLES R CHINA	Univ Chinese Acad Sci, Victoria Univ, Joint Lab Social Comp & E Hlth Res, Nanjing Univ Finance & Econ, Jiangsu Prov Key Lab E Business, Nanjing Sci & Technol Commiss		Sponsored search auction; VCG mechanism; Coalitional game theory; Shapley value		Sponsored search auctions play a crucial role in the Internet advertising. By considering the mutual interactions among advertisers in sponsored search auctions, we propose a game-theory based method for advertisers cooperating with each other in a sponsored search auction. First, we propose a cooperation bid strategy for advertisers' coalition, which could make the utility of the coalition increased and be obtained in linear time. Then, we prove the coalitional game of advertisers has a non-empty core containing the Shapley value. Following, we use an approximate Shapley value to distribute the coalition's utility among advertisers in the coalition. Experiments results verify the efficiency and effectiveness of our method.	[Xu, Wenlin; Yue, Kun; Duan, Liang; Liu, Weiyi] Yunnan Univ, Sch Informat Sci & Engn, Dept Comp Sci & Engn, Kunming, Peoples R China; [Xu, Wenlin; Yue, Kun] Key Lab Software Engn, Kunming, Yunnan, Peoples R China; [Li, Jin] Yunnan Univ, Sch Software, Kunming, Yunnan, Peoples R China; [Liu, Suiye] SUNY Binghamton, Dept Econ, Binghamton, NY USA	Yue, K (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Dept Comp Sci & Engn, Kunming, Peoples R China.	kyue@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61063009, 61163003, 61232002]; Ph.D Programs Foundation of Ministry of Education of ChinaMinistry of Education, China [20105301120001]; Yunnan Provincial Foundation for Leaders of Disciplines in Science and Technology [2012HB004]; Natural Science Foundation of Yunnan ProvinceNatural Science Foundation of Yunnan Province [2011FB020]; Foundation of Key Program of Department of Education of Yunnan Province [2011Z015, 2013Z049]; Foundation of the Key Laboratory of Software Engineering of Yunnan Province [2012SE205]	This work was supported by the National Natural Science Foundation of China (61063009, 61163003, 61232002), the Ph.D Programs Foundation of Ministry of Education of China (20105301120001), the Yunnan Provincial Foundation for Leaders of Disciplines in Science and Technology (2012HB004), the Natural Science Foundation of Yunnan Province (2011FB020), the Foundation of Key Program of Department of Education of Yunnan Province (2011Z015, 2013Z049), and the Foundation of the Key Laboratory of Software Engineering of Yunnan Province (2012SE205).		15	0	0	0	2	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		978-3-642-41154-0; 978-3-642-41153-3	LECT NOTES COMPUT SC			2013	8181						458	468					11	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BB3IO	WOS:000342805300036					2019-12-05	
B	Yang, M; Zhou, LH; Ruan, HF			IEEE Comp Soc	Yang, Ming; Zhou, Lihua; Ruan, Huifeng			The Methods for Solving Influence Diagrams: A Review	2013 INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS (ITA)			English	Proceedings Paper	International Conference on Information Technology and Applications (ITA)	NOV 16-17, 2013	Chengdu, PEOPLES R CHINA	Zhejiang Gongshang Univ, Zhejiang Univ Finance & Econ, Anhui Polytechn Univ		Decision making; Influence diagrams; Bayesian network		Influence diagrams (IDs) are one of the most commonly used graphical decision models for reasoning under uncertainty. Solving an ID means determining the optimal strategy for the decision maker and the value or certain equivalent of the decision situation when that optimal strategy is applied. Much research effort has been devoted to develop methods and algorithms for solving IDs, and a vast literature on this problem has been yielded. This paper attempts a brief exposition on the methods common used for solving IDs, for the purpose of providing a help for decision makers to select appropriate methods when they solve IDs.	[Yang, Ming] Coll Yunnan Trandit Med, Kunming, Peoples R China; [Zhou, Lihua] Yunnan Univ, Sch Informat, kunming 650091, Peoples R China; [Ruan, Huifeng] Coll Yunnan Police Officer, kunming, Peoples R China	Yang, M (reprint author), Coll Yunnan Trandit Med, Kunming, Peoples R China.	ljyangming@163.com; lhzhou@ynu.edu.cn; rsh20082008@163.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61262069, 61063008, 61272126]; Science Foundation of Yunnan Province [2010CD025]; Yunnan Educational Department Foundation [2012C103]	This research was supported by the National Natural Science Foundation of China under Grant No.61262069, No.61063008, No.61272126, the Science Foundation of Yunnan Province under Grant No. 2010CD025, and the Yunnan Educational Department Foundation under Grant No.2012C103.		14	1	1	0	1	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			978-1-4799-2876-7				2013							427	431		10.1109/ITA.2013.104			5	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BB2SE	WOS:000342214600099					2019-12-05	
S	Zhang, JH; Shi, XL; Lv, L; Wang, X; Zhang, YF; Guo, F			IEEE	Zhang, Junhua; Shi, Xinling; Lv, Liang; Wang, Xiao; Zhang, Yufeng; Guo, Fei			Computerized Lenke Classification of Scoliotic Spine	2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	IEEE Engineering in Medicine and Biology Society Conference Proceedings		English	Proceedings Paper	35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013	Osaka, JAPAN	IEEE Engn Med Biol Soc, Japanese Soc Med & Biol Engn			ADOLESCENT IDIOPATHIC SCOLIOSIS; COBB ANGLE MEASUREMENT; DEFORMITY CLASSIFICATION; KING CLASSIFICATION; RELIABILITY; IDENTIFICATION	A computer-aided approach was proposed to reduce the variability in the Lenke classification. At the first step, endplate inclination of each vertebra on both the coronal and sagittal radiographs was measured by a computerized system. The Cobb angles of the proximal thoracic, the main thoracic, and the thoracolumbar/lumbar curves were then automatically calculated in the standing and side-bending coronal planes and the standing sagittal plane. A computerized algorithm automatically classified the spinal type. The classification results of 37 scoliotic patients by five observers showed that with the computer aid, the average interobserver and intraobserver kappa values were improved from 0.77 to 0.88 and from 0.68 to 0.83, respectively. This computerized tool can assist in the Lenke classification of scoliosis.	[Zhang, Junhua; Shi, Xinling; Wang, Xiao; Zhang, Yufeng] Yunnan Univ, Dept Elect Engn, Kunming 650091, CO, Peoples R China; [Lv, Liang; Guo, Fei] First Peoples Hosp Yunnan Prov, Dept Radiol, Kunming 650032, Peoples R China	Zhang, JH (reprint author), Yunnan Univ, Dept Elect Engn, Kunming 650091, CO, Peoples R China.	jhzhang@ynu.edu.cn; guofeiyn@163.com			Natural Science Foundation of ChinaNational Natural Science Foundation of China [61002049]; Key Project of Chinese Ministry of EducationMinistry of Education, China [211173]	This work was supported by the Natural Science Foundation of China (No. 61002049) and the Key Project of Chinese Ministry of Education (No. 211173).		11	1	1	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1557-170X		978-1-4577-0216-7	IEEE ENG MED BIO			2013							945	948					4	Engineering, Biomedical; Engineering, Electrical & Electronic	Engineering	BB2DX	WOS:000341702101108	24109845				2019-12-05	
S	Zhang, YF; Gao, L; Shen, K; Zhang, KX; Yan, J; Cheng, W; Zhang, JH			IEEE	Zhang, Yufeng; Gao, Lian; Shen, Kai; Zhang, Kexin; Yan, Jine; Cheng, Wei; Zhang, Junhua			A simulator for mixed Doppler ultrasound signals from pulsatile blood flow and vessel wall with mild stenosis	2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	IEEE Engineering in Medicine and Biology Society Conference Proceedings		English	Proceedings Paper	35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013	Osaka, JAPAN	IEEE Engn Med Biol Soc, Japanese Soc Med & Biol Engn		Mixed Doppler ultrasound signal simulator; Mild local-stenosis; Vessel wall beat; Pulsatile blood flow	ALGORITHM	A novel computer simulator to generate mixed Doppler ultrasound signals from the pulsatile blood flow and vessel wall with mild stenosis is presented in this paper. In-phase and quadrature Doppler blood flow signals are generated using cosine-superposed components modulated by a spectrogram estimated from velocity profile. Meanwhile, Doppler signals echoed from bidirectional moving walls are generated with the input waveforms of the wall velocities. Finally, the Doppler signals determined above are summed respectively to yield the combined Doppler signals in terms of given sample volume shape. The experimental results show that the proposed simulator generates mixed Doppler signals with the characteristics similar to those found in practice, and could be an useful experimental data source for evaluating the performance of wall filters.	[Zhang, Yufeng] Yunnan Univ, Dept Elect Engn, Kunming 650091, Yunnan, Peoples R China; [Zhang, Yufeng; Gao, Lian; Shen, Kai; Yan, Jine; Cheng, Wei; Zhang, Junhua] Yunnan Univ, Dept Elect Engn, Informat Sch, Kunming 650091, Yunnan, Peoples R China; [Zhang, Kexin] Second Affiliated Hosp, Kunming Med Coll, Cardiovascular Dept, Kunming 650031, Yunnan, Peoples R China	Zhang, YF (reprint author), Yunnan Univ, Dept Elect Engn, Kunming 650091, Yunnan, Peoples R China.	yfengzhang@yahoo.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61261007, 61002049]	This work was supported by the National Natural Science Foundation of China under Grants 61261007 and 61002049.		12	1	1	2	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1557-170X		978-1-4577-0216-7	IEEE ENG MED BIO			2013							1903	1906					4	Engineering, Biomedical; Engineering, Electrical & Electronic	Engineering	BB2DX	WOS:000341702102095	24110084				2019-12-05	
S	Zhang, JH; Lv, L			IEEE	Zhang, Junhua; Lv, Liang			Comparison of Geometric Torsion in Scoliosis under Lenke Classification	2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	IEEE Engineering in Medicine and Biology Society Conference Proceedings		English	Proceedings Paper	35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013	Osaka, JAPAN	IEEE Engn Med Biol Soc, Japanese Soc Med & Biol Engn			IDIOPATHIC SCOLIOSIS; 3-DIMENSIONAL CLASSIFICATION; SPINAL DEFORMITY; CURVES	The objective of this study is to investigate whether three dimensional (3D) variability exists within the Lenke classification, and to evaluate the correlations between the 3D features and the Cobb angle used in the Lenke classification. Forty-nine scoliotic patients with Lenke Type 1 curve were selected for analysis. For each patient, the 3D spine model was reconstructed from biplanar radiographs, and the geometric torsion was then calculated from the reconstructed spine model. An analysis of variance (ANOVA) was performed regarding the average torsion, the maximum torsion, and the Cobb angle, with the patients subdivided according to the torsion pattern. Results showed that a statistically significant difference was observed for the torsion parameters (i.e., the average torsion and the maximum torsion) between subgroups within the Lenke Type 1 curves while no statistically significant difference was found regarding the Cobb angle. The strengths of correlations between the torsion parameters and Cobb angle were stronger in the subgroup with torsion pattern of Type A. These results add the evidence that 3D geometric torsion reveals structural differences that are not apparent in the Cobb measurement.	[Zhang, Junhua] Yunnan Univ, Dept Elect Engn, Kunming 650091, CO, Peoples R China	Zhang, JH (reprint author), Yunnan Univ, Dept Elect Engn, Kunming 650091, CO, Peoples R China.	jhzhang_2006@yahoo.com.cn; llyn99@163.com			Natural Science Foundation of ChinaNational Natural Science Foundation of China [61002049]; Chinese Ministry of EducationMinistry of Education, China [211173]	This work was supported by the Natural Science Foundation of China (No. 61002049) and the Key Project of Chinese Ministry of Education (No. 211173)		12	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1557-170X		978-1-4577-0216-7	IEEE ENG MED BIO			2013							2404	+					4	Engineering, Biomedical; Engineering, Electrical & Electronic	Engineering	BB2DX	WOS:000341702102217					2019-12-05	
B	Chen, M; Liu, C; Wang, FY			IEEE Comp Soc	Chen, Min; Liu, Chen; Wang, Fuyan			Context Quantization Under the Minimum Increment of the Adaptive Code Length	2013 INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS (ITA)			English	Proceedings Paper	International Conference on Information Technology and Applications (ITA)	NOV 16-17, 2013	Chengdu, PEOPLES R CHINA	Zhejiang Gongshang Univ, Zhejiang Univ Finance & Econ, Anhui Polytechn Univ		context quantization; affinity propagation; increment of the adaptive code length	COMPRESSION	In this paper, the context quantization for I-ary source based on the affinity propagation algorithm is presented. In this algorithm, the design objective of the context quantizer is aimed to minimize the adaptive code length of the source sequence. In purpose of finding the optimal number of classes, the increment of the adaptive code length is suggested to be the similarity measure of two conditional probability distributions, by which the similarity matrix is constructed as the input of the affinity propagation algorithm. After the given number of iterations, the optimal quantizer with the optimal number of classes is achieved and the adaptive code length is minimized at the same time. The simulations indicate that the proposed algorithm produces results that are better than the results obtained by the minimum conditional entropy context quantization implemented by K-means with lower computational complexity.	[Chen, Min; Liu, Chen] Yunnan Univ, Informat Coll, Kunming, Peoples R China; [Wang, Fuyan] Kunming Univ, Informat & Technol Coll, Kunming, Peoples R China	Chen, M (reprint author), Yunnan Univ, Informat Coll, Kunming, Peoples R China.	minkeychen@sina.cn; luozpdezt169@126.com; 757441312@QQ.com			Science Research Foundation of Kunming University [XJL12003]	This work is supported by Science Research Foundation of Kunming University under Grant XJL12003.		9	0	0	0	0	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			978-1-4799-2876-7				2013							9	12		10.1109/ITA.2013.8			4	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BB2SE	WOS:000342214600003					2019-12-05	
B	Li, TW; Ma, F; Liu, WY		Chen, J; Wang, X; Wang, L; Sun, J; Meng, X		Li, Tianwen; Ma, Feng; Liu, Weiyi			The Core and the Bargaining Set for Multi-choice Games	2013 10TH INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY (FSKD)			English	Proceedings Paper	10th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD)	JUL 23-25, 2013	Shenyang, PEOPLES R CHINA	IEEE, IEEE Circuits & Syst Soc		multi-choice games; fuzzy set theory; core; dominance core; bargaining set	SHAPLEY VALUE; EXISTENCE; EXTENSIONS	Multi-choice games provide a mathematic model for the complex interactions among the rational agents which have several activity levels, based on the fuzzy set theory. For obtaining the stable payoff vectors, this paper extends the core, the dominance core and the bargaining set to the multi-choice games with coalition structure. And then we prove that the core is a subset of the dominance core, that both the core and the dominance core are two subsets of the bargaining set, and that the bargaining set is existent.	[Li, Tianwen] Kunming Univ Sci & Technol, Sch Sci, Kunming, Peoples R China; [Ma, Feng; Liu, Weiyi] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Peoples R China	Li, TW (reprint author), Kunming Univ Sci & Technol, Sch Sci, Kunming, Peoples R China.				National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61262067]	The work is supported by the National Natural Science Foundation of China (Grant No.: 61262067)		23	0	0	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-5253-6				2013							114	119					6	Computer Science, Artificial Intelligence; Computer Science, Information Systems	Computer Science	BB2BZ	WOS:000341633700019					2019-12-05	
B	Liu, YJ; Shi, XL; Huang, GL; Li, BL; Zhao, L		Chen, J; Wang, X; Wang, L; Sun, J; Meng, X		Liu, Yajie; Shi, Xinling; Huang, Guoliang; Li, Baolei; Zhao, Lei			Classification of Diffuse Large B Cell Lymphoma Gene Expression Data Based on Two-Layer Particle Swarm Optimization	2013 10TH INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY (FSKD)			English	Proceedings Paper	10th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD)	JUL 23-25, 2013	Shenyang, PEOPLES R CHINA	IEEE, IEEE Circuits & Syst Soc		classification; gene; TLPSO; PSO; DLBLC	MOLECULAR CLASSIFICATION; CLUSTERING METHOD; CANCER; PREDICTION; SELECTION; NETWORKS	Classification of gene expression data to determine subtype of samples is meaningful to research tumors in molecular biology level. It is also an important way to make further treatment plan for the patient. Particle swarm optimization (PSO) is proven to be an ineffective solution for classification and clustering in bioinformatics as it could not give a stable prediction result. In this study, a classifier based on the two layer particle swarm optimization (TLPSO) algorithm and uncertain training sample sets is established. Samples of diffuse large B cell lymphoma (DLBLC) gene expression data are used for training and validating. The classification stability and accuracy by the proposed TLPSO algorithm increase significantly compared with the results obtained by using algorithms known as PSO and Kmeans.	[Liu, Yajie; Shi, Xinling; Huang, Guoliang; Li, Baolei] Yunnan Univ, Informat Sch, Kunming, Peoples R China; [Liu, Yajie] Med Univ Yunnan Tumor Hosp, Affiliated Hosp Kunming 3, Kunming, Peoples R China; [Zhao, Lei] Kunming Univ Sci & Technol, Sch Sci, Kunming, Peoples R China	Liu, YJ (reprint author), Yunnan Univ, Informat Sch, Kunming, Peoples R China.	lyjcome@qq.com; xlshi@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61062005]	This work was supported by the National Natural Science Foundation of China under Grants 61062005.		18	1	1	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-5253-6				2013							422	427					6	Computer Science, Artificial Intelligence; Computer Science, Information Systems	Computer Science	BB2BZ	WOS:000341633700069					2019-12-05	
