PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Lu, QN; Yang, JJ; Jin, ZY; Chen, DZ; Huang, M				Lu, Q. N.; Yang, J. J.; Jin, Z. Y.; Chen, D. Z.; Huang, M.			State of the Art and Challenges of Radio Spectrum Monitoring in China	RADIO SCIENCE			English	Article; Proceedings Paper	URSI Asia-Pacific Radio Science Conference (URSI AP-RASC)	AUG 21-25, 2016	Seoul, SOUTH KOREA	KIEES, URSI, Natl Radio Res Agcy, Elect & Telecommunicat Res Inst, Korea Astron & Space Sci Inst, NFRI, EiC, IEEE Antennas & Propagat Soc, IEEE Antennas & Propagat Soc Seoul Chapter, KICS, IEIE, KOFST, SEOUL Metropolitan Govt, Korea Tourism Org, Samsung, LG Innotek, LIG, LG Elect, SK Telecom, Hanwha Thales, Kt, MTG		spectrum monitoring; spectrum sensing; spectrum management; Internet of Things (IoT)		This paper provides an overview of radio spectrum monitoring in China. First, research background, the motivation is described and then train of thought, the prototype system, and the accomplishments are presented. Current radio spectrum monitoring systems are man-machine communication systems, which are unable to detect and process the radio interference automatically. In order to realize intelligent radio monitoring and spectrum management, we proposed an Internet of Things-based spectrum sensing approach using information system architecture and implemented a pilot program; then some very interesting results were obtained.	[Lu, Q. N.; Yang, J. J.; Huang, M.] Yunnan Univ, Sch Informat Sci & Engn, Wireless Innovat Lab, Kunming, Yunnan, Peoples R China; [Lu, Q. N.; Jin, Z. Y.; Chen, D. Z.] Yunnan Prov Ind & Informat Technol Commiss, Kunming, Yunnan, Peoples R China	Huang, M (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Wireless Innovat Lab, Kunming, Yunnan, Peoples R China.	huangming@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61261002, 61461052, 11564044]; Ministry of Industry and Information Technology of the People's Republic of China	Our work was funded by the National Natural Science Foundation of China (grant 61261002, 61461052, and 11564044) and was supported by the Ministry of Industry and Information Technology of the People's Republic of China. The data related to the results shown in the paper may be obtained by contacting the corresponding author at huangming@ynu.edu.cn.		15	4	4	0	3	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	0048-6604	1944-799X		RADIO SCI	Radio Sci.	OCT	2017	52	10					1261	1267		10.1002/2017RS006409			7	Astronomy & Astrophysics; Geochemistry & Geophysics; Meteorology & Atmospheric Sciences; Remote Sensing; Telecommunications	Astronomy & Astrophysics; Geochemistry & Geophysics; Meteorology & Atmospheric Sciences; Remote Sensing; Telecommunications	FM8WZ	WOS:000415373900004					2019-12-05	
J	Cao, H; Chai, TT; Wang, X; Morais-Braga, MFB; Yang, JH; Wong, FC; Wang, RB; Yao, HK; Cao, JG; Cornara, L; Burlando, B; Wang, YT; Xiao, JB; Coutinho, HDM				Cao, Hui; Chai, Tsun-Thai; Wang, Xin; Morais-Braga, Maria Flaviana B.; Yang, Jing-Hua; Wong, Fai-Chu; Wang, Ruibing; Yao, Huankai; Cao, Jianguo; Cornara, Laura; Burlando, Bruno; Wang, Yitao; Xiao, Jianbo; Coutinho, Henrique D. M.			Phytochemicals from fern species: potential for medicine applications	PHYTOCHEMISTRY REVIEWS			English	Article; Proceedings Paper	2nd International Symposium on Phytochemicals in Medicine and Food (ISPMF)	APR 07-10, 2017	Fuzhou, PEOPLES R CHINA	Phytochem Soc Europe, Phytochem Soc Asia, Int Soc Chinese Med, Fujian Agr & Forestry Univ, Univ Macau, Univ Hong Kong, Kunming Univ Sci & Technol, Yancheng Inst Technol, Guiyang Med Univ, Nanchang Univ, Hebei Normal Univ Sci & Technol, Zhejiang Univ, Beijing Normal Univ, Jinan Univ		Ferns; Phytochemicals; Pharmacology; Medicine; Food	AQUILINUM-VAR-LATIUSCULUM; POLYPODIUM-LEUCOTOMOS EXTRACT; FAWCETTIMINE-RELATED ALKALOIDS; LYCOPODIUM-SERRATUM THUNB; DAVALLIA-MARIESII MOORE; EQUISETUM-ARVENSE L.; PTERIS-SEMIPINNATA L; ACETYLCHOLINESTERASE INHIBITION ACTIVITIES; TREAT GASTROINTESTINAL DISORDERS; SELAGINELLA-DOEDERLEINII HIERON	Ferns are an important phytogenetic bridge between lower and higher plants. Historically they have been used in many ways by humans, including as ornamental plants, domestic utensils, foods, and in handicrafts. In addition, they have found uses as medicinal herbs. Ferns produce a wide array of secondary metabolites endowed with different bioactivities that could potentially be useful in the treatment of many diseases. However, there is currently relatively little information in the literature on the phytochemicals present in ferns and their pharmacological applications, and the most recent review of the literature on the occurrence, chemotaxonomy and physiological activity of fern secondary metabolites was published over 20 years ago, by Soeder (Bot Rev 51:442-536, 1985). Here, we provide an updated review of this field, covering recent findings concerning the bioactive phytochemicals and pharmacology of fern species.	[Cao, Hui; Cornara, Laura; Burlando, Bruno; Xiao, Jianbo] Fujian Agr & Forestry Univ, Coll Food Sci, Fuzhou 350002, Peoples R China; [Cao, Hui; Wang, Ruibing; Wang, Yitao; Xiao, Jianbo] Univ Macau, Inst Chinese Med Sci, State Key Lab Qual Res Chinese Med, Taipa, Macau, Peoples R China; [Chai, Tsun-Thai; Wong, Fai-Chu] Univ Tunku Abdul Rahman, Dept Chem Sci, Fac Sci, Kampar 31900, Malaysia; [Wang, Xin; Cao, Jianguo] Shanghai Normal Univ, Dept Biol, 100 Guilin Rd, Shanghai 200234, Peoples R China; [Morais-Braga, Maria Flaviana B.; Coutinho, Henrique D. M.] Reg Univ Cariri URCA, Lab Microbiol & Mol Biol, Crato, CE, Brazil; [Yang, Jing-Hua] Yunnan Univ, Sch Chem Sci & Technol, Key Lab Med Chem Nat Resource, Minist Educ, Kunming 650091, Peoples R China; [Wong, Fai-Chu] Univ Tunku Abdul Rahman, Ctr Biodivers Res, Kampar 31900, Malaysia; [Yao, Huankai] Xuzhou Med Univ, Sch Pharm, Jiangsu Key Lab New Drug Res & Clin Pharm, Xuzhou 221004, Jiangsu, Peoples R China; [Yao, Huankai] Univ Macau, Fac Hlth Sci, Taipa, Macau, Peoples R China; [Cornara, Laura] Univ Genoa, Dipartimento Sci Terra Ambiente & Vita, Polo Bot, Corso Dogali 1M, I-16136 Genoa, Italy; [Burlando, Bruno] Univ Piemonte Orientale Amedeo Avogadro, Dipartimento Sci & Innovaz Tecnol, Viale Teresa Michel 11, I-15121 Alessandria, Italy; [Burlando, Bruno] CNR, Ist Biofis, Via De Marini 6, I-16149 Genoa, Italy	Xiao, JB (reprint author), Univ Macau, Inst Chinese Med Sci, State Key Lab Qual Res Chinese Med, Taipa, Macau, Peoples R China.; Coutinho, HDM (reprint author), Reg Univ Cariri URCA, Lab Microbiol & Mol Biol, Crato, CE, Brazil.	hui_cao0830@yahoo.com; chaitt@utar.edu.my; wangxinishappy@163.com; flavianamoraisb@yahoo.como.br; yangjh@ynu.edu.cn; wongfc@utar.edu.my; rwang@umac.mo; hkyao@xzhmu.edu.cn; cao101@shnu.edu.cn; cornara@dipteris.unige.it; burlando@mfn.unipmn.it; ytwang@umac.mo; jianboxiao@umac.mo; hdmcoutinho@gmail.com	Coutinho, Henrique DM/E-1046-2013; Xiao, Jianbo/C-7323-2012; Wang, Ruibing/J-9460-2015; Chai, Tsun-Thai/D-9266-2015	Coutinho, Henrique DM/0000-0002-6634-4207; Xiao, Jianbo/0000-0003-3311-770X; Wang, Ruibing/0000-0001-9489-4241; Chai, Tsun-Thai/0000-0003-3716-1599; Burlando, Bruno/0000-0001-7545-0311; wang, xin/0000-0002-9679-7426; Yao, Huankai/0000-0002-6316-3523	opening fund of the State Key Laboratory of Quality Research in Chinese Medicine, University of Macau [SKL-QRCM-2014-2016-008]	This study was supported by the opening fund of the State Key Laboratory of Quality Research in Chinese Medicine, University of Macau (No. SKL-QRCM-2014-2016-008).		482	9	9	11	63	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1568-7767	1572-980X		PHYTOCHEM REV	Phytochem. Rev.	JUN	2017	16	3			SI		379	440		10.1007/s11101-016-9488-7			62	Plant Sciences	Plant Sciences	EX1WR	WOS:000403018000002					2019-12-05	
J	Zhang, D; Guo, YQ; Shum, KP				Zhang, Di; Guo, Yuqi; Shum, K. P.			Some results in r-disjunctive languages and related topics	SOFT COMPUTING			English	Article; Proceedings Paper	International Conference on Logical Algebras and Semirings (LAS) in honor of the 65th Birthday of Wolfgang Rump	2015	Beihang Univ, Haidian Campus, Beijing, PEOPLES R CHINA		Beihang Univ, Haidian Campus	r-Disjunctive languages; r-Regular languages; Syntactic congruences; Syntactic monoids; Decomposition; Completely infix-k-disjunctive languages; Trivially infix-k-disjunctive languages; Properly partially infix-k-disjunctive languages	REGULAR LANGUAGES; CODES	In this article, we summarize some new results on r-disjunctive languages and its related topics from some papers, these results form a new progress in this research area. In these results, we show the use of syntactic congruences (resp. syntactic monoids) of languages and the infix languages of languages in studying the characteristics, the decompositions and the classifications of the r-disjunctive languages. In addition, we set out some open problems in this area proposed in these papers.	[Zhang, Di] Guangdong Univ Educ, Dept Math, Guangzhou 510303, Guangdong, Peoples R China; [Guo, Yuqi] Lanzhou Univ, Sch Math & Stat, Lanzhou 730000, Gansu, Peoples R China; [Shum, K. P.] Yunnan Univ, Inst Math, Kunming 650091, Yunnan Province, Peoples R China	Guo, YQ (reprint author), Lanzhou Univ, Sch Math & Stat, Lanzhou 730000, Gansu, Peoples R China.	zhangdi88@gdei.edu.cn; yqguo259@swu.edu.cn; kpshum@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [11371177]	The research was supported by the National Natural Science Foundation of China (Grant No. 11371177).		15	1	2	0	5	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1432-7643	1433-7479		SOFT COMPUT	Soft Comput.	MAY	2017	21	10			SI		2477	2483		10.1007/s00500-017-2572-0			7	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Computer Science	ET4FL	WOS:000400234600003					2019-12-05	
S	He, LB; Qiang, ZP; Zhou, W; Yao, SW		Uden, L; Lu, W; Ting, IH		He, Libo; Qiang, Zhenping; Zhou, Wei; Yao, Shaowen			A Review of Resource Scheduling in Large-Scale Server Cluster	KNOWLEDGE MANAGEMENT IN ORGANIZATIONS (KMO 2017)	Communications in Computer and Information Science		English	Proceedings Paper	12th International Conference on Knowledge Management in Organizations (KMO) - Emerging Technology	AUG 14-21, 2017	Beijing Jiaotong Univ, Beijing, PEOPLES R CHINA		Beijing Jiaotong Univ	Resource scheduling system; Large-scale server cluster; Resource sharing; Job scheduling		Resource scheduling has played a crucial role for improving resource utilization of server cluster. There are five types of scheduling architectures that are being used widely for scheduling resource in server clusters that includes statically partitioned schedulers, monolithic schedulers, two-level scheduling, shared-state scheduling and distributed schedulers. In this paper, several scheduling architectures will be discussed. This paper also illustrates key techniques of these scheduling architectures, including resource representation and sharing model, scheduling algorithms and some other techniques. Different scheduling techniques are being applied in different scheduling architectures. Based on this review paper, it can be concluded that there are a lot of works related to scheduling strategies in large-scale cluster are conducted. However, the relatively complicated application and scaling cluster size present new requirements to scheduling techniques. Then some scheduling techniques can still be improved.	[He, Libo; Qiang, Zhenping] Yunnan Univ, Sch Informat Sci & Engn, 2 Cuihu North Rd, Kunming, Yunnan, Peoples R China; [Zhou, Wei; Yao, Shaowen] Yunnan Univ, Sch Software, 2 Cuihu North Rd, Kunming, Yunnan, Peoples R China	Yao, SW (reprint author), Yunnan Univ, Sch Software, 2 Cuihu North Rd, Kunming, Yunnan, Peoples R China.	22013000170@mail.ynu.edu.cn; qzp@swfu.edu.cn; zwei@ynu.edu.cn; yaosw@ynu.edu.cn						21	0	0	1	1	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	1865-0929	1865-0937	978-3-319-62698-7; 978-3-319-62697-0	COMM COM INF SC			2017	731						494	505		10.1007/978-3-319-62698-7_41			12	Computer Science, Theory & Methods; Management	Computer Science; Business & Economics	BL5IO	WOS:000451588800041					2019-12-05	
S	Bao, XG; Wang, LZ; Xiao, Q		Chen, L; Jensen, CS; Shahabi, C; Yang, X; Lian, X		Bao, Xuguang; Wang, Lizhen; Xiao, Qing			OICPM: An Interactive System to Find Interesting Co-location Patterns Using Ontologies	WEB AND BIG DATA, APWEB-WAIM 2017, PT II	Lecture Notes in Computer Science		English	Proceedings Paper	1st Asia-Pacific Web (APWeb) and Web-Age Information Management (WAIM) Joint International Conference on Web and Big Data	JUL 07-09, 2017	Beijing, PEOPLES R CHINA			Spatial data mining; Co-location pattern mining; Interesting patterns; Interactive; Ontology		In spatial data mining, the usefulness of co-location patterns is strongly limited by the huge amount of delivered co-location patterns. Although many methods have been proposed to reduce the number of co-location patterns, most of them do not guarantee that the extracted co-location patterns are interesting for the user for being generally based on statistical information. This demonstration presents OICPM, an interactive system to discover interesting co-location patterns based on ontologies. With OICPM, the user can find his/her real interesting ones from a massive amount of co-location patterns efficiently within only a few rounds of selection, and the mined interesting co-location patterns are filtered in order for better decision.	[Bao, Xuguang; Wang, Lizhen; Xiao, Qing] Yunnan Univ, Sch Informat Sci & Engn, Dept Comp Sci & Engn, Kunming 650091, Yunnan, Peoples R China	Wang, LZ (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Dept Comp Sci & Engn, Kunming 650091, Yunnan, Peoples R China.	lzhwang@ynu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61472346, 61662086]; Science Foundation of Yunnan Province [2016FA026, 2015FB114];  [C6165903]	This work was supported in part by grants (No. 61472346, No. 61662086) from the National Natural Science Foundation of China, by grants (No. 2016FA026, No.2015FB114) from the Science Foundation of Yunnan Province and by the Spectrum Sensing and borderlands Security Key Laboratory of Universities in Yunnan (C6165903).		6	1	1	0	0	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-319-63564-4; 978-3-319-63563-7	LECT NOTES COMPUT SC			2017	10367		II				329	332		10.1007/978-3-319-63564-4_29			4	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BL5PZ	WOS:000452448300029					2019-12-05	
B	Liu, QY; Zou, L; Che, HM; Wang, HY; Jin, YZ; Yang, HJ			IEEE	Liu, Qinyun; Zou, Lin; Che, Hongming; Wang, Haiyun; Jin, Yunzhi; Yang, Hongji			A Creative Computing based Inspiration Assistant to Poem Generation	2017 14TH INTERNATIONAL SYMPOSIUM ON PERVASIVE SYSTEMS, ALGORITHMS AND NETWORKS & 2017 11TH INTERNATIONAL CONFERENCE ON FRONTIER OF COMPUTER SCIENCE AND TECHNOLOGY & 2017 THIRD INTERNATIONAL SYMPOSIUM OF CREATIVE COMPUTING (ISPAN-FCST-ISCC)			English	Proceedings Paper	14th International Symposium on Pervasive Systems, Algorithms and Networks (I-SPAN) / 11th International Conference on Frontier of Computer Science and Technology (FCST) / 3rd International Symposium of Creative Computing (ISCC)	JUN 21-23, 2017	Exeter, ENGLAND			Creative Computing; Psychology; Inspiration; Software Development; Poet Writing; Semantic Web	MOTIVATION	This paper presents a process of poem generation for users who need creative inspiration. Rather than enumerating existing poems, users are able to discover possible creative changes of existing poems, and then develop their own poems through our App. Creativity can re-shape the way that people look at things, which has already been studied in many disciplines. When collaborating with most widely used facility, computers, as a joining force of innovation, can be formed by researching creative computing. In order to explain how computers can enhance human creativity, a general framework of creative computing has been proposed. For the purpose of evaluating creative computing in practice, this paper proposes a creative approach to inspiring users and a supplemental poem modification case will be presented to show how knowledge combination can contribute and help the inspiration process in the form of software development. In order to achieve this purpose, the intrinsic motivation and external stimulation for creativity from psychology will be abstracted to a word linking algorithm in the proposed research and the semantic web techniques will be used to make software understand the context of input. Then a feedback loop will be constructed to make software adaption.	[Liu, Qinyun; Zou, Lin; Che, Hongming; Yang, Hongji] Bath Spa Univ, Ctr Creat Comp, Bath, Avon, England; [Wang, Haiyun] Changchun Univ Technol, Changchun, Jilin, Peoples R China; [Jin, Yunzhi] Yunnan Univ, Sch Software, Kunming, Yunnan, Peoples R China	Liu, QY (reprint author), Bath Spa Univ, Ctr Creat Comp, Bath, Avon, England.	qinyun.liu15@bathspa.ac.uk; lin.zou14@bathspa.ac.uk; hongming.che16@bathspa.ac.uk; international@ccut.edu.cn; jyzkm@qq.com; h.yang@bathspa.ac.uk	zou, Lin/W-7344-2019					26	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-0840-1				2017							469	476		10.1109/ISPAN-FCST-ISCC.2017.63			8	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Computer Science; Engineering	BL5BD	WOS:000451202300072					2019-12-05	
B	Yang, JD; Xu, Z; Bao, LY; He, M; Wang, K; Zhou, SJ			IEEE	Yang Jundong; Xu Zhi; Bao Liyong; He Min; Wang Kun; Zhou Shaojing			A Design of MAC Layer DCF Protocol for IEEE 802.11 Network Based on FPGA	2017 INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS, ELECTRONICS AND CONTROL (ICCSEC)			English	Proceedings Paper	International Conference on Computer Systems, Electronics and Control (ICCSEC)	DEC 25-27, 2017	Dalian, PEOPLES R CHINA			MAC protocol; DCF; random multiple access technology; FPGA; the method of circuit principle diagram input		How to make communication more efficient and reduce energy consumption in wireless network is an important issue to be considered in the design of MAC protocol. When a large number of nodes share a wireless channel for data transmission, and the user is intermittent work, the need to use the MAC protocol in the random multiple access technology (DCF). In this paper, a design of MAC protocol based on FPGA is proposed, which uses the hardware circuit description language HDL Verilog and the circuit principle diagram input method to design the simulation.	[Yang Jundong; Xu Zhi; Bao Liyong; He Min] Yunnan Univ, Informat Coll, Kunming 653000, Yunnan, Peoples R China; [Wang Kun] Kunming Ship Equipment Res & Expt Ctr, Kunming 650051, Yunnan, Peoples R China; [Zhou Shaojing] Kunming Coll Met, Sch Comp & Informat, Kunming 650300, Yunnan, Peoples R China	Bao, LY (reprint author), Yunnan Univ, Informat Coll, Kunming 653000, Yunnan, Peoples R China.				National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61461053, 61461054, 61072079]	Supported by the National Natural Science Foundation of China (61461053,61461054,61072079);		10	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-3573-5				2017							511	513					3	Engineering, Electrical & Electronic	Engineering	BL3CN	WOS:000449512500088					2019-12-05	
B	Du, RX; Liang, ZG; Ding, HW; Bao, LY; He, M			IEEE	Du, Ruixue; Liang, Zhuguan; Ding, Hongwei; Bao, Liyong; He, Min			The Application of Exhaustive Service polling control theory in the intelligent traffic system based on FPGA	2017 INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS, ELECTRONICS AND CONTROL (ICCSEC)			English	Proceedings Paper	International Conference on Computer Systems, Electronics and Control (ICCSEC)	DEC 25-27, 2017	Dalian, PEOPLES R CHINA			Intelligent traffic system; exhaustive service polling control theory; arrival rate; improve traffic efficiency		Social progress brought about the development of the city, more and more people choose to go out by car, the continuous increase in vehicles to the city's traffic has brought great inconvenience, the traditional traffic lights can not meet the needs of urban development and ease traffic pressure. This paper presents an intelligent transportation system based on FPGA for exhaustive service polling control theory, based on the knowledge of polling theory, and then obtains the arrival rate of vehicles. From the various data, the arrival rate is proportional to the waiting time. The simulation results show that the intelligent traffic system under the condition of full service polling control can alleviate the traffic jam and improve the traffic efficiency.	[Du, Ruixue; Liang, Zhuguan; Ding, Hongwei; Bao, Liyong; He, Min] Yunnan Univ, Sch Informat, Kunming, Peoples R China	Du, RX (reprint author), Yunnan Univ, Sch Informat, Kunming, Peoples R China.	765533709@qq.com; dhw1964@163.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61461053, 61461054]	This work was supported by the National Natural Science Foundation of China(61461053;61461054).		11	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-3573-5				2017							1281	1284					4	Engineering, Electrical & Electronic	Engineering	BL3CN	WOS:000449512500206					2019-12-05	
S	Zhang, DZ; Cai, DL; Gao, Y; Zhou, H; Li, TW		Yang, J; Hu, Q; Cheng, MM; Wang, L; Liu, Q; Bai, X; Meng, D		Zhang, Dengzhuo; Cai, Donglan; Gao, Yun; Zhou, Hao; Li, Tianwen			Correlation Filters Tracker Based on Two-Level Filtering Edge Feature	COMPUTER VISION, PT I	Communications in Computer and Information Science		English	Proceedings Paper	2nd CCF Chinese Conference on Computer Vision (CCCV)	OCT 11-14, 2017	China Comp Federat, Tianjin, PEOPLES R CHINA	China Comp Federat, Comp Vis Comm, Civil Aviat Univ, Tianjin Univ, Nankai Univ, CCF Tech Comm Comp Vis, Megvii Face++, Sensetime, Isecure Technol, Ali A I Labs, Hiscene, Riseye, Tupu, Nvidia, Pingan Technol, Pinnacle, Vrview, Xilinx, Athena Eyes, Watrix Technol, Extreme Vis, Shanghai Acad Artificial Intelligence, Segway Robot, Percipio XYZ, AN	China Comp Federat	Object tracking; Correlation filters; Two-level filtering; Edge feature; Model updating	VISUAL TRACKING	In recent years, correlation filter frame has attracted more attention in visual object tracking, providing a real-time way. However, with the increase of the computing complexity of feature extractor, the trackers lost the real-time advantage of correlation filters. Moreover, correlation filters model drift can result in tracking failure. In order to solve these problems, a novel and simple correlation filters tracker based on two-level filtering edge feature (ECFT) was proposed. ECFT extracted a low-complexity edge feature based on two-level filtering for object representation. For reducing model drift as much as possible, an object model is updated adaptively by the maximum response value of correlation filters. The comparative experiments of 7 trackers on 20 challenging sequences showed that the ECFT tracker can perform better than other trackers in terms of AUC and Precision.	[Zhang, Dengzhuo; Cai, Donglan; Gao, Yun; Zhou, Hao] Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China; [Gao, Yun] Kunming Inst Phys, Kunming, Yunnan, Peoples R China; [Li, Tianwen] Kunming Univ Sci & Technol, Fac Sci, Kunming, Yunnan, Peoples R China	Gao, Y (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming, Yunnan, Peoples R China.; Gao, Y (reprint author), Kunming Inst Phys, Kunming, Yunnan, Peoples R China.	gausegao@163.com			Application Foundation Project of Yunnan Province of China [2016FB103]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61262067, 11663007]; Personnel Training Project of Yunnan Province of China [KKSY201407074]	The work is supported by Application Foundation Project of Yunnan Province of China (Grant No.: 2016FB103), National Natural Science Foundation of China (Grant Nos.: 61262067 and 11663007) and Personnel Training Project of Yunnan Province of China (Grant No.: KKSY201407074).		20	0	0	1	3	SPRINGER-VERLAG SINGAPORE PTE LTD	SINGAPORE	152 BEACH ROAD, #21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE	1865-0929	1865-0937	978-981-10-7299-4; 978-981-10-7298-7	COMM COM INF SC			2017	771						528	538		10.1007/978-981-10-7299-4_44			11	Computer Science, Artificial Intelligence	Computer Science	BL3LC	WOS:000449835200044					2019-12-05	
S	Li, YX; Pu, YY; Xu, D; Qian, WH; Wang, LP		Yang, J; Hu, Q; Cheng, MM; Wang, L; Liu, Q; Bai, X; Meng, D		Li, Yuxin; Pu, Yuanyuan; Xu, Dan; Qian, Wenhua; Wang, Lipeng			Image Aesthetic Quality Evaluation Using Convolution Neural Network Embedded Fine-Tune	COMPUTER VISION, PT II	Communications in Computer and Information Science		English	Proceedings Paper	2nd CCF Chinese Conference on Computer Vision (CCCV)	OCT 11-14, 2017	China Comp Federat, Tianjin, PEOPLES R CHINA	China Comp Federat, Profess Comm Comp Vis, Civil Aviat Univ, Tianjin Univ, Nankai Univ, CCF Tech Comm Comp Vis, Megvii Face++, Sensetime, Isecure Technol, Ali A I Labs, Hiscene, Riseye, Tupu, Nvidia, Pingan Technol, Pinnacle, Vrview, Xilinx, Athena Eyes, Watrix Technol, Extreme Vis, Shanghai Acad Artificial Intelligence, Segway Robot, Percipio XYZ, AN	China Comp Federat	Image aesthetic quality evaluation; Image content; CNN; Embedded fine-tune		A way of convolution neural network (CNN) embedded finetune based on the image contents is proposed to evaluate the image aesthetic quality in this paper. Our approach can not only solve the problem of small-scale data but also quantify the image aesthetic quality. First, we chose Alexnet and VGG S to compare which is more suitable for image aesthetic quality evaluation task. Second, to further boost the image aesthetic quality classification performance, we employ the image content to train aesthetic quality classification models. But the training samples become smaller and only using once fine-tune can not make full use of the small-scale dataset. Third, to solve the problem in second step, a way of using twice fine-tune continually based on the aesthetic quality label and content label respective, is proposed. At last, the categorization probability of the trained CNN models is used to evaluate the image aesthetic quality. We experiment on the small-scale dataset Photo Quality. The experiment results show that the classification accuracy rates of our approach are higher than the existing image aesthetic quality evaluation approaches.	[Li, Yuxin; Pu, Yuanyuan; Xu, Dan; Qian, Wenhua; Wang, Lipeng] Yunnan Univ, Sch Informat Sci & Engn, Kunming 650504, Yunnan, Peoples R China	Pu, YY (reprint author), Yunnan Univ, Sch Informat Sci & Engn, Kunming 650504, Yunnan, Peoples R China.	km_pyy@126.com			Natural Science Foundation of ChinaNational Natural Science Foundation of China [61271361, 61163019, 61462093, 61761046]; Research Foundation of Yunnan Province [2014FA021, 2014FB113]; Digital Media Technology Key Laboratory of Universities in Yunnan	It is a project supported by Natural Science Foundation of China (No. 61271361, 61163019, 61462093, 61761046), the Research Foundation of Yunnan Province (2014FA021, 2014FB113), and Digital Media Technology Key Laboratory of Universities in Yunnan.		38	1	1	1	1	SPRINGER-VERLAG SINGAPORE PTE LTD	SINGAPORE	152 BEACH ROAD, #21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE	1865-0929	1865-0937	978-981-10-7302-1; 978-981-10-7301-4	COMM COM INF SC			2017	772						269	283		10.1007/978-981-10-7302-1_23			15	Computer Science, Artificial Intelligence	Computer Science	BL3KY	WOS:000449831600023					2019-12-05	
