Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Imminent and medium-term predictions for Ludian earthquake (Ms6.5) and rheological structure of the middle crust","20150300435400","Zeng, Zuoxun (1, 2, 3); Liu, Genshen (3); Li, Xianrui (3, 4); He, Chicheng (2, 3); Yang, Xuexiang (5); Yang, Donghong (6, 7) ","(1) Three Gorges Research Center for Geo-hazard, Ministry of Education, China University of Geosciences, Wuhan; 430074, China (2) School of Earth Sciences, China University of Geosciences, Wuhan; 430074, China (3) Huazhong Tectonomechanical Research Center, Wuhan; 430074, China (4) Institute of Geophysics and Geomatics, China University of Geosciences, Wuhan; 430074, China (5) College of Geo-exploration Science and Technology, Jilin University, Changchun; 130026, China (6) Research Center of Palaeontology and Stratigraphy, Jilin University, Changchun; 130026, China (7) Key-Lab for Evolution of Past Life and Environment in Northeast Asia, Ministry of Education, Jilin University, Changchun; 130026, China ","Yang, Donghong ","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","39","12","1751-1762","December 1, 2014","","","","2014","Chinese","10002383","","","","10.3799/dqkx.2014.159","","","","","","DIKEEL","Journal article (JA)","At 16:30 of August 3rd, 2014, an earthquake with a magnitude of Ms6.5 occurred in Ludian County of Zhaotong City, Yunnan Province (27.1°N, 103.3°E). The depth of the hypocenter is 10 km. Due to this disaster, 617 people were died, 112 people disappeared and 108 840 000 people were injured. According to the superposition effects of the moon declination angle, sunspot extreme year cycles and the two, summed up 2013-2014 years is Yunnan strong earthquake periods of high risk, with the condition for the occurrence of Ms7 earthquake. The following year, forecast method based SW fingerprint information using the earthquake precursory instrument, developed by the end of 2014 211 earthquake prediction table, predict 2014 August Sichuan (26.18°N, 105.33°E) Ms5.3 earthquake will occur. The Ludian Ms6.5 earthquake occurred on August 3, 2014 indicates that the error of the predicted date is only 1 day, the predicted epicenter is about 226 km away from the actual earthquake epicenter. Besides that the actual magnitude is Ms1.2 larger than the predicted magnitude. According to the comprehensive analysis in tectonic setting, the S-wave crustal velocity structure and the focus mechanism of the Ludian earthquake, we believe that the Baogunao-Xiaohe left-lateral strike-slip fault triggered the Ludian earthquake, while the junction of the middle-low crust's low-velocity (high-conductivity) body and the Baogunao-Xiaohe fault is the location of the focus releasing the accumulated energy which practically is the epicenter. This provides a new case study of the three-level tectonic model for intraplate earthquakes. ©, 2014, China University of Geosciences. All right reserved.","70","Earthquakes","Fault tolerance - Forecasting - Shear waves - Strike-slip faults","Comprehensive analysis - Crustal velocity structure - Earthquake epicenter - Earthquake prediction - Intraplate earthquakes - Medium term - Superposition effect - Tectonic models","484 Seismology - 484.1 Earthquake Measurements and Analysis - 931.1 Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Differences in medical education teaching between China and Japan","20153601247021","Jing, Shu (1); Sun, Wei-Jing (2); Chen, Jian-Guang (2); Li, He (2) ","(1) Affiliated Hospital of Beihua University, Jilin City, China (2) College of Pharmacy, Beihua University, Jilin City, China ","Chen, Jian-Guang(644257703@qq.com) ","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","","CRC Press/Balkema","","","619-622","2015","","","1 of 1","2015","English","","","","9781138026841","","","Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","August 16, 2014 - August 17, 2014","Kunming, Yunnan, China","118459","","Conference article (CA)","There are some differences in history, culture, custom, social background and so on among different nationalities. The differences in the concrete process of some teaching links, such as teaching management, teaching syllabus, lecture, setting paper and test, in Chinese and Japanese medicine colleges and universities are compared and analyzed. © 2015 Taylor & Francis Group, London.","3","Medical education","History","Colleges and universities - Concrete process - Teaching managements","461.6 Medicine and Pharmacology - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Dynamic fair allocation of multiple resources with bounded number of tasks in cloud computing systems","20160401832707","Zhang, Xuejie (2); Li, Weidong (1, 2); Liu, Xi (1); Zhang, Xiaolu (1) ","(1) Yunnan University, Kunming, Yunnan, China (2) Dianchi College, Yunnan University, Kunming, Yunnan; 650091, China ","Zhang, Xuejie(xjzhang@ynu.edu.cn) ","Multiagent and Grid Systems","Multiagent Grid Syst.","","IOS Press, Nieuwe Hemweg 6B, Amsterdam, 1013 BG, Netherlands","11","4","245-257","January 6, 2016","","","","2016","English","15741702","18759076","","","10.3233/MGS-150238","","","","","","","Journal article (JA)","Resource allocation is an important issue in any shared computer system. Recently, dynamic multi-resource fair allocation became a hot topic in cloud resource management. The most recent studies assume that each agent submits infinite number of tasks. In this paper, we consider a more realistic dynamic environment, where every agent submits a bounded number of tasks. We design a generalized dynamic dominant resource fairness mechanism, and develop a combinatorial optimal algorithm to find a fair allocation. Experimental results show that the solution produced by the proposed mechanism is close to the optimal solution. © 2015-IOS Press and the authors.","29","Dynamics","Cloud computing - Combinatorial mathematics - Resource allocation","Combinatorial algorithm - Combinatorial optimal algorithm - dominant resource fairness - Dynamic environments - Multi-resource - Multiple resources - Optimal solutions - Resource management","722.4 Digital Computers and Systems - 912.2 Management - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A global randomness-based probability convergence analysis of Fibonacci tree optimization algorithm","20182605370921","Dong, Yi (1); Lv, Dan-Ju (1); Wang, Xia (1); Wang, Yao-Min (1); Li, Peng (1); Shi, Xin-Ling (1) ","(1) School of Information Science and Engineering, Yunnan University, Kunming; 650504, China ","Dong, Yi(625068010@qq.com) ","Kongzhi yu Juece/Control and Decision","Kongzhi yu Juece Control Decis","","Northeast University","33","3","439-446","March 1, 2018","","","","2018","Chinese","10010920","","","","10.13195/j.kzyjc.2017.0104","","","","","","KYJUEF","Journal article (JA)","A Fibonacci tree-end self-adaptive radius parameter is proposed to effectively enhance convergence of Fibonacci tree optimization(FTO) algorithm at neighborhood of optima. The convergence of FTO is analyzed and proved on the basis of global randomness of Fibonacci tree. By comparing both the precision in solving benchmark functions and the qualified rate of repeated and independent solutions, the convergence performance of FTO is also examined and confirmed. © 2018, Editorial Office of Control and Decision. All right reserved.","17","Trees (mathematics)","Benchmarking - Forestry - Optimization - Random processes","Benchmark functions - Convergence - Convergence analysis - Convergence performance - Fibonacci - Global randomness - Optimization algorithms - Self-Adaptive","921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 921.5 Optimization Techniques - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Contribution to the asexual propagation of natural population of Diphyllelia sinensis (Berberidaceae)","2000045114141","Ma, Shao-bin ; Huang, Heng-yu ; Li, Li ",,"","Jishou Daxue Xuebao/Journal of Jishou University","Jishou Daxue Xuebao","","Jishou Univ, Jishou, China","20","4","15-20","Dec 1999","","","","1999","Chinese","10072985","","","","","","","","","","JDXKFY","Journal article (JA)","The asexual propagation of natural population in Zhondia, Yunnan Province of Diphylleia sinensis (Berberidaceae) has been observed and analyzed. The result shows that in natural population, there are about 45.35% individual undertake asexual propagation and form clones. Each clone contains 2 to 37 ramets, of which, vegetative ramets is 1 to 29, this is 0% to 100% of total ramets, sexual ramets is 0 to 15, this is 0 to 100% of total ramets. When plant undertakes asexual propagation, it forms main stems by terminal buds and forms branches by lateral buds. Each clone contains 1 to 7 main branches, which each contains 1 to 13 nodes, one year forms one node. Each node weighs 0.6 to 23.7 gram, contains 1 to 48 roots. The length of each internode is from 6.6 mm to 35.1 mm. The diameter of rhizome is from 5.55 mm to 18.2 mm, diameter of leaf scar is from 5.35 mm to 20.0 mm. Individual age and population coverage degree are the main factors that influence asexual propagation. In addition, intra-species and inter-species competition also affect asexual propagation process. Asexual propagation has high value in evolutionary process and ecological adaptation of Diphylleia sinensis.",,,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Top-k Structure Holes Detection Algorithm in Social Network","20190706499139","Zhu, Jiang (1); Zhu, Lu (1); Bao, Chongming (1); Zhou, Lihua (1); Wang, Chongyun (1); Kong, Bing (1) ","(1) Yunnan University, Kunming, China ","","Proceedings - 9th International Conference on Information Technology in Medicine and Education, ITME 2018","Proc. - Int. Conf. Inf. Technol. Med. Educ., ITME","China Jiliang University; et al.; Fujian University of Traditional Chinese Medicine; University of Texas at San Antonio (UTSA); Zhejiang Provincial Natural Science Foundation; Zhejiang University","Institute of Electrical and Electronics Engineers Inc.","","","1064-1071","December 26, 2018","Proceedings - 9th International Conference on Information Technology in Medicine and Education, ITME 2018","","1 of 1","2018","English","","","","9781538677438","10.1109/ITME.2018.00235","8589467","9th International Conference on Information Technology in Medicine and Education, ITME 2018","October 19, 2018 - October 21, 2018","Hangzhou, Zhejiang, China","144046","","Conference article (CA)","In the research of social networks, the structure holes usually refers to the vertices in the network at the key positions of information diffusion. The detection of such vertices is of great significance for the control of network public opinion, the analysis of the influence of social network, the detection of the weak points of the network security, the rapid spread of the information and so on. How to find more accurate structural holes has become a key problem in the research. In this paper, we proposed a method to detect the top-k structure holes based on the shortest path increment. It mainly through the analysis of SPIG (the shortest path increment), NCC (the number of sub connected components) and VAR (the variance of the vertices in a connected component) to determine the structure hole attribute values of the vertices. And then the vertices are sorted according to this value and obtained the top-k vertices. Our experiments on real networks and different scales LFR simulation complex networks clearly verify the effectiveness of our method, as well as the advantage of our method against the other similar methods. © 2018 IEEE.","22","Graph theory","Complex networks - Network security - Signal detection - Social aspects - Social networking (online)","Attribute values - Connected component - Control of networks - Detection algorithm - Information diffusion - Real networks - Shortest path - Structural holes","716.1 Information Theory and Signal Processing - 722 Computer Systems and Equipment - 723 Computer Software, Data Handling and Applications - 901.4 Impact of Technology on Society - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,"Number: 2016FA026, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 31760152, Acronym: -, Sponsor: National Natural Science Foundation of China; ","ACKNOWLEDGMENT The authors thank the reviewers for their helpful comments and suggestions. This research was supported by the National Natural Science Foundation of China (61762090, 31760152), the Natural Science Foundation of Yunnan Province (2016FA026).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Morphological decomposition in second language derivational processing","20161102092597","Zhang, Beizhen (1) ","(1) School of Foreign Languages, Jiangsu University, Zhenjiang, Jiangsu Province, China ","Zhang, Beizhen(zhangbeizhen@126.com) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1743-1747","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","","9781467391047","10.1109/ICInfA.2015.7279569","7279569","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","In order to detect the morphological decomposition in L2 processing of polymorphemic words, the present study has used one behavioral task - the masked priming to monitor the online L2 derivational processing. Experiment results showed great priming effects when the derived words were presented before their stems (e.g., speaker-speak), indicating the morphological decomposition in L2 processing. It was also discovered that, the decomposition takes place for all the derived words, regardless of participants' familiarity with them. Based on these results, it was proposed that, the morphological decomposition is an automatic processing mechanism for polymorphemic words. As a universal mechanism, it can be used by both L1 and L2 speakers. Based on these findings, it is suggested that, the natural language processing and artificial language decoding research should stress the discovery and application of universal language patterns. © 2015 IEEE.","13","Natural language processing systems","Automation","Automatic processing - derived words - Language patterns - Priming effects - Second language - Universal mechanisms","723.2 Data Processing and Image Processing - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi attribute D-S evidence theory based OCC for shared-state scheduling in large scale cluster","20170403284784","He, Libo (1); Qiang, Zhenping (1); Zhou, Wei (2); Yao, Shaowen (2) ","(1) School of Information Science and Engineering in Yunnan University, No.2 Cuihu North Rd, Kunming City, China (2) School of Software in Yunnan University, No.2 Cuihu North Rd, Kunming City, China ","","International Journal of Online Engineering","Int. J. Online Eng.","","Kassel University Press GmbH, Diagonale 10, Kassel, 34127, Germany","12","12","43-48","2016","","","","2016","English","18681646","18612121","","","10.3991/ijoe.v12i12.6457","","","","","","","Journal article (JA)","With the growth of big data problems, nowadays the size of cloud-scale computing clusters is growing rapidly to run complicated parallel processing jobs. To full utilize cluster resources, the cluster management system is being challenged by the scaling cloud size and the often more complicated application requirements. Omega scheduling software provides a flexible and scalable shared-state scheduling architecture for large scale cluster scheduling. One of its key ideas is using an optimistic concurrency control (OCC) algorithm to let parallel schedulers concurrently make decisions. However, there are few studies exploring to extend OCC for a shared-state scheduling architecture. Furthermore, most of the traditional' shared-state scheduling architectures also use the same OCCs as Omega does. In this paper, we present a multi attribute Dempster-Shafer (D-S) evidence theory based OCC for shared-state scheduling. This OCC adapts the multi attribute D-S evidence theory to help making conflict decisions for some scheduling transactions. Experiments' results show that our method can obtain in some respects more optimized scheduling results compared to coarse-grained conflict detection of Omega.","26","Scheduling","Big data - Cluster computing - Computation theory - Concurrency control","Application requirements - Cluster management system - D S evidence theory - Dempster-Shafer evidence theory - Large-scale clusters - Optimistic concurrency controls - Scheduling architecture - Shared state","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Precise eye detection on frontal view face image","20101812902958","Qian, Zhiming (1, 2); Tian, Yonghui (1); Xu, Dan (1) ","(1) Yunnan University, Kunming, Yunnan, China (2) Chuxiong Normal University, Chuxiong, Yunnan, China ","Qian, Z.(qzhiming@126.com) ","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","Int. Conf. Internet Multimedia Comput. Serv., ICIMCS","ACM SIGMM Beijing Chapter; National Science Foundation of China","Association for Computing Machinery (ACM)","","","43-48","2009","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","","","2009","English","","","","9781605588407","10.1145/1734605.1734619","","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","November 23, 2009 - November 25, 2009","Kunming, Yunnan, China","80025","","Conference article (CA)","The eye localization is a fundamental step in human-computer interaction and automatic face recognition. In this paper, a new eye detection method for face images is proposed. Firstly, the rough eye positions are found by Gabor transformation and cluster analysis. Secondly, a detection of pupil centers will be continued by applying two neighborhood operators in the rough eye regions. A subset of the color FERET database and the Faces 1999 database are used to evaluate the proposed method. Results of experiments show that our method is robust and efficient. Copyright 2009 ACM.","19","Face recognition","Cluster analysis - Eye protection - Human computer interaction","Automatic face recognition - Eye detection - Eye detection method - Eye localization - FERET database - Gabor transformation - Neighborhood operators - Pupil centers","723 Computer Software, Data Handling and Applications - 914.1 Accidents and Accident Prevention",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Difficulties of transnational power dispatching in power transmission from China to Vietnam and corresponding countermeasures","20102312995540","He, Jin-Ding (1); Xie, Yi-Gong (1); Zhu, Xin-Chun (1); Huang, Ting (1); He, Xing-Qi (2) ","(1) Yunnan Electric Power Dispatching Center, Kunming 650011, Yunnan Province, China (2) School of Electrical Engineering and Information, Sichuan University, Chengdu 610065, Sichuang Province, China ","He, J.-D.(hejind@163.com) ","Dianwang Jishu/Power System Technology","Dianwang Jishu","","Power System Technology Press","34","5","185-189","May 2010","","","","2010","Chinese","10003673","","","","","","","","","","DIJIES","Journal article (JA)","The completion and putting into operation of 220 kV power transmission project from China to Vietnam means the beginning of large-scale power transmission from China to neighboring country by EHV transmission line. Up to now there is no existing experience in transnational EHV power transmission that could be used for reference, it makes higher requests to the dispatching for transnational interconnected power network. On the basis of transmitting electric power from China to Vietnam in the year 2007, the problems existing in the dispatching of transnational interconnected power network, such as the unsmooth communication between both sides, the adjustment of voltage and load, out of the step of accident removal in two countries, etc., are analyzed and corresponding countermeasures are put forward to ensure the successful power transmission from China to Vietnam.","15","Electric power transmission networks","EHV power transmission - Electric load dispatching - Electric network analysis - Electric power system interconnection - Power transmission","Dispatching - Interconnected power grid - Power supply - Viet Nam - Yunnan power grid","602.2 Mechanical Transmissions - 703.1.1 Electric Network Analysis - 706.1 Electric Power Systems - 706.1.1 Electric Power Transmission",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
